energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-4.84142071,1.70370112,0.00349039,0.16271387,0.94371985,0.92034586,0.38509348,0.00000000,0.56834587,0.01830803
-4.83541771,1.72053951,0.00381973,0.16643359,0.94355357,0.93293259,0.38143831,0.00000000,0.57153898,0.01818880
-4.82941471,1.73556753,0.00416752,0.16924596,0.93988466,0.94664010,0.37740769,0.00000000,0.57278130,0.01800214
-4.82341171,1.74850509,0.00453154,0.17111292,0.93282643,0.96114512,0.37303890,0.00000000,0.57218504,0.01775294
-4.81740870,1.75915502,0.00490884,0.17201556,0.92255766,0.97615611,0.36837885,0.00000000,0.56988328,0.01744708
-4.81140570,1.76740972,0.00529576,0.17195492,0.90931802,0.99142299,0.36348254,0.00000000,0.56602446,0.01709120
-4.80540270,1.77325378,0.00568792,0.17095215,0.89340176,1.00674405,0.35841135,0.00000000,0.56076702,0.01669249
-4.79939970,1.77676265,0.00608032,0.16904802,0.87515005,1.02196988,0.35323118,0.00000000,0.55427446,0.01625853
-4.79339670,1.77809767,0.00646742,0.16630182,0.85494199,1.03700438,0.34801069,0.00000000,0.54671104,0.01579706
-4.78739370,1.77749779,0.00684327,0.16278958,0.83318503,1.05180308,0.34281964,0.00000000,0.53823837,0.01531581
-4.78139070,1.77526862,0.00720163,0.15860186,0.81030487,1.06636874,0.33772750,0.00000000,0.52901291,0.01482235
-4.77538769,1.77176925,0.00753619,0.15384108,0.78673538,1.08074493,0.33280244,0.00000000,0.51918443,0.01432394
-4.76938469,1.76739767,0.00784073,0.14861853,0.76290883,1.09500778,0.32811052,0.00000000,0.50889558,0.01382743
-4.76338169,1.76257529,0.00810935,0.14305120,0.73924676,1.10925646,0.32371539,0.00000000,0.49828217,0.01333920
-4.75737869,1.75773134,0.00833661,0.13725862,0.71615173,1.12360291,0.31967814,0.00000000,0.48747431,0.01286510
-4.75137569,1.75328770,0.00851778,0.13135968,0.69400026,1.13816129,0.31605744,0.00000000,0.47659800,0.01241043
-4.74537269,1.74964463,0.00864897,0.12546972,0.67313701,1.15303766,0.31290981,0.00000000,0.46577715,0.01197992
-4.73936968,1.74716803,0.00872729,0.11969792,0.65387038,1.16832038,0.31028990,0.00000000,0.45513562,0.01157777
-4.73336668,1.74617847,0.00875093,0.11414500,0.63646958,1.18407156,0.30825078,0.00000000,0.44479909,0.01120765
-4.72736368,1.74694227,0.00871926,0.10890150,0.62116307,1.20032001,0.30684396,0.00000000,0.43489675,0.01087275
-4.72136068,1.74966498,0.00863284,0.10404637,0.60813845,1.21705597,0.30611933,0.00000000,0.42556229,0.01057575
-4.71535768,1.75448715,0.00849338,0.09964620,0.59754360,1.23422770,0.30612468,0.00000000,0.41693441,0.01031890
-4.70935468,1.76148254,0.00830371,0.09575487,0.58948888,1.25174020,0.30690506,0.00000000,0.40915649,0.01010398
-4.70335168,1.77065873,0.00806766,0.09241362,0.58405029,1.26945606,0.30850172,0.00000000,0.40237554,0.00993231
-4.69734867,1.78195979,0.00778992,0.08965155,0.58127342,1.28719834,0.31095084,0.00000000,0.39674044,0.00980476
-4.69134567,1.79527105,0.00747589,0.08748642,0.58117775,1.30475540,0.31428210,0.00000000,0.39239945,0.00972168
-4.68534267,1.81042549,0.00713148,0.08592570,0.58376129,1.32188744,0.31851702,0.00000000,0.38949711,0.00968288
-4.67933967,1.82721161,0.00676296,0.08496782,0.58900512,1.33833449,0.32366738,0.00000000,0.38817076,0.00968758
