energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
4.07303652,4.09813791,-4.03136642,1.99211966,-1.93492591,0.15002766,-0.15919639,0.29896484,-0.29174299,0.30581760,-0.31495098,0.43114232,-0.43476091,0.00000000,-0.00000000
4.07903952,4.05723193,-4.09577796,1.97702460,-1.96926055,0.14785901,-0.16117086,0.29731909,-0.29732548,0.29869177,-0.31721406,0.42516086,-0.44020230,0.00000000,-0.00000000
4.08504252,3.99540758,-4.13617031,1.95180419,-1.99230098,0.14493875,-0.16217176,0.29420999,-0.30127800,0.28978859,-0.31728928,0.41716910,-0.44308061,0.00000000,-0.00000000
4.09104552,3.91438318,-4.15231156,1.91721618,-2.00388551,0.14134043,-0.16219945,0.28973617,-0.30357287,0.27929688,-0.31518419,0.40738650,-0.44340867,0.00000000,-0.00000000
4.09704852,3.81617996,-4.14446180,1.87416769,-2.00408318,0.13714762,-0.16127408,0.28401525,-0.30421454,0.26743235,-0.31095296,0.39605922,-0.44125162,0.00000000,-0.00000000
4.10305153,3.70305888,-4.11335638,1.82368678,-1.99318711,0.13245132,-0.15943464,0.27717969,-0.30323832,0.25443091,-0.30469448,0.38345326,-0.43672405,0.00000000,-0.00000000
4.10905453,3.57745508,-4.06017422,1.76689284,-1.97170099,0.12734737,-0.15673744,0.26937258,-0.30070823,0.24054165,-0.29654891,0.36984764,-0.42998581,0.00000000,-0.00000000
4.11505753,3.44191330,-3.98649332,1.70496733,-1.94031945,0.12193396,-0.15325400,0.26074349,-0.29671398,0.22601981,-0.28669299,0.35552805,-0.42123650,0.00000000,-0.00000000
4.12106053,3.29902679,-3.89423595,1.63912588,-1.89990370,0.11630930,-0.14906865,0.25144454,-0.29136738,0.21112009,-0.27533415,0.34078120,-0.41070924,0.00000000,-0.00000000
4.12706353,3.15138184,-3.78560666,1.57059305,-1.85145369,0.11056961,-0.14427583,0.24162705,-0.28479819,0.19609040,-0.26270401,0.32588996,-0.39866382,0.00000000,-0.00000000
4.13306653,3.00150962,-3.66302623,1.50058015,-1.79607837,0.10480738,-0.13897729,0.23143848,-0.27714982,0.18116648,-0.24905120,0.31112948,-0.38537974,0.00000000,-0.00000000
4.13906953,2.85184604,-3.52906480,1.43026684,-1.73496544,0.09911011,-0.13327931,0.22102007,-0.26857503,0.16656730,-0.23463417,0.29676425,-0.37114945,0.00000000,-0.00000000
4.14507254,2.70470003,-3.38637694,1.36078630,-1.66935196,0.09355919,-0.12728998,0.21050495,-0.25923172,0.15249156,-0.21971408,0.28304602,-0.35627197,0.00000000,-0.00000000
4.15107554,2.56222966,-3.23764121,1.29321389,-1.60049694,0.08822937,-0.12111683,0.20001684,-0.24927911,0.13911513,-0.20454814,0.27021236,-0.34104721,0.00000000,-0.00000000
4.15707854,2.42642522,-3.08550611,1.22855883,-1.52965679,0.08318828,-0.11486471,0.18966917,-0.23887432,0.12658953,-0.18938362,0.25848589,-0.32577115,0.00000000,-0.00000000
4.16308154,2.29909795,-2.93254362,1.16775815,-1.45806416,0.07849633,-0.10863395,0.17956456,-0.22816951,0.11504130,-0.17445274,0.24807362,-0.31073180,0.00000000,-0.00000000
4.16908454,2.18187277,-2.78121099,1.11167219,-1.38691043,0.07420668,-0.10251903,0.16979458,-0.21730953,0.10457215,-0.15996847,0.23916652,-0.29620608,0.00000000,-0.00000000
4.17508754,2.07618329,-2.63382060,1.06108078,-1.31733174,0.07036536,-0.09660750,0.16043971,-0.20643011,0.09525980,-0.14612148,0.23193878,-0.28245746,0.00000000,-0.00000000
4.18109055,1.98326772,-2.49251734,1.01667938,-1.25039830,0.06701133,-0.09097931,0.15156937,-0.19565660,0.08715923,-0.13307802,0.22654672,-0.26973419,0.00000000,-0.00000000
4.18709355,1.90416408,-2.35926230,0.97907452,-1.18710627,0.06417657,-0.08570634,0.14324192,-0.18510303,0.08030428,-0.12097884,0.22312726,-0.25826802,0.00000000,-0.00000000
4.19309655,1.83970390,-2.23582147,0.94877804,-1.12837162,0.06188604,-0.08085223,0.13550465,-0.17487163,0.07470938,-0.10993897,0.22179564,-0.24827298,0.00000000,-0.00000000
4.19909955,1.79050381,-2.12375775,0.92619993,-1.07502520,0.06015757,-0.07647229,0.12839373,-0.16505250,0.07037133,-0.10004823,0.22264264,-0.23994435,0.00000000,-0.00000000
