energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.99149575,8.23754973,0.02475350,1.19710683,1.88673378,4.46005593,1.01762393,0.56705690,0.06214082,2.15517323
-4.98549275,8.39960802,0.02457853,1.22175541,1.93847340,4.54405232,1.04713324,0.57650172,0.06190086,2.19819954
-4.97948974,8.55511564,0.02439578,1.24555845,1.98968440,4.62347061,1.07649576,0.58597770,0.06164486,2.24008563
-4.97348674,8.70260463,0.02420391,1.26832867,2.03994814,4.69758724,1.10530115,0.59549523,0.06136753,2.28038708
-4.96748374,8.84088524,0.02400301,1.28990696,2.08887494,4.76584019,1.13316744,0.60508174,0.06106647,2.31873852
-4.96148074,8.96906404,0.02379447,1.31016452,2.13611026,4.82783755,1.15974917,0.61477998,0.06074200,2.35485922
-4.95547774,9.08655089,0.02358087,1.32900388,2.18133977,4.88335950,1.18474463,0.62464555,0.06039679,2.38855572
-4.94947474,9.19305463,0.02336585,1.34635858,2.22429316,4.93235371,1.20790165,0.63474375,0.06003558,2.41972122
-4.94347174,9.28856769,0.02315388,1.36219172,2.26474654,4.97492432,1.22902189,0.64514586,0.05966470,2.44833201
-4.93746873,9.37334033,0.02295005,1.37649327,2.30252331,5.01131492,1.24796350,0.65592506,0.05929162,2.47444091
-4.93146573,9.44784576,0.02275984,1.38927640,2.33749370,5.04188642,1.26464189,0.66715205,0.05892447,2.49816824
-4.92546273,9.51273783,0.02258888,1.40057300,2.36957281,5.06709075,1.27902883,0.67889076,0.05857159,2.51969053
-4.91945973,9.56880342,0.02244275,1.41042870,2.39871763,5.08744167,1.29114971,0.69119414,0.05824104,2.53922768
-4.91345673,9.61691181,0.02232672,1.41889754,2.42492311,5.10348422,1.30107930,0.70410040,0.05794025,2.55702914
-4.90745373,9.65796389,0.02224566,1.42603686,2.44821776,5.11576420,1.30893601,0.71762983,0.05767565,2.57335963
-4.90145073,9.69284358,0.02220379,1.43190261,2.46865910,5.12479948,1.31487516,0.73178237,0.05745238,2.58848521
-4.89544772,9.72237427,0.02220461,1.43654541,2.48632938,5.13105447,1.31908130,0.74653598,0.05727413,2.60266029
-4.88944472,9.74728240,0.02225085,1.44000773,2.50133194,5.13491925,1.32176016,0.76184610,0.05714300,2.61611609
-4.88344172,9.76817024,0.02234436,1.44232242,2.51378856,5.13669444,1.32313042,0.77764599,0.05705948,2.62905105
-4.87743872,9.78549902,0.02248614,1.44351263,2.52383798,5.13658270,1.32341568,0.79384807,0.05702253,2.64162358
-4.87143572,9.79958326,0.02267636,1.44359339,2.53163572,5.13468713,1.32283696,0.81034612,0.05702965,2.65394724
-4.86543272,9.81059622,0.02291438,1.44257450,2.53735521,5.13101686,1.32160589,0.82701825,0.05707710,2.66608848
-4.85942971,9.81858575,0.02319883,1.44046487,2.54118999,5.12549920,1.31991890,0.84373042,0.05716015,2.67806681
-4.85342671,9.82349921,0.02352768,1.43727778,2.54335676,5.11799758,1.31795242,0.86034028,0.05727327,2.68985711
-4.84742371,9.82521538,0.02389832,1.43303682,2.54409882,5.10833421,1.31585925,0.87670126,0.05741048,2.70139387
-4.84142071,9.82358103,0.02430764,1.42778205,2.54368932,5.09631583,1.31376604,0.89266648,0.05756557,2.71257674
