energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
5.47173587,0.58929509,1.00401846,0.00016962,0.01540592,0.02263311,0.52415057,0.02046742,0.04588445,0.04441212
5.47773887,0.53541884,0.91520445,0.00015314,0.01399523,0.02062856,0.47348235,0.01864910,0.04156518,0.04018375
5.48374187,0.48309099,0.82833848,0.00013745,0.01262685,0.01866714,0.42484162,0.01687150,0.03739296,0.03611123
5.48974487,0.43287504,0.74444263,0.00012272,0.01131567,0.01677164,0.37867443,0.01515516,0.03340869,0.03223357
5.49574787,0.38524106,0.66438537,0.00010909,0.01007419,0.01496128,0.33533942,0.01351743,0.02964566,0.02858243
5.50175088,0.34056442,0.58887575,0.00009668,0.00891253,0.01325160,0.29511013,0.01197235,0.02612953,0.02518230
5.50775388,0.29912812,0.51846423,0.00008560,0.00783854,0.01165445,0.25818031,0.01053067,0.02287857,0.02205077
5.51375688,0.26112837,0.45354939,0.00007594,0.00685790,0.01017810,0.22467175,0.00919995,0.01990423,0.01919919
5.51975988,0.22668288,0.39438967,0.00006781,0.00597445,0.00882746,0.19464418,0.00798478,0.01721173,0.01663343
5.52576288,0.19584139,0.34111945,0.00006131,0.00519045,0.00760444,0.16810660,0.00688714,0.01480097,0.01435479
5.53176588,0.16859758,0.29376798,0.00005654,0.00450693,0.00650834,0.14502960,0.00590672,0.01266739,0.01236101
5.53776888,0.14490206,0.25228062,0.00005365,0.00392408,0.00553624,0.12535806,0.00504135,0.01080297,0.01064734
5.54377189,0.12467567,0.21654100,0.00005280,0.00344161,0.00468352,0.10902382,0.00428742,0.00919717,0.00920760
5.54977489,0.10782259,0.18639342,0.00005420,0.00305912,0.00394428,0.09595773,0.00364031,0.00783789,0.00803525
5.55577789,0.09424298,0.16166458,0.00005810,0.00277648,0.00331180,0.08610093,0.00309482,0.00671231,0.00712437
5.56178089,0.08384450,0.14218399,0.00006481,0.00259411,0.00277895,0.07941469,0.00264555,0.00580772,0.00647057
5.56778389,0.07655264,0.12780258,0.00007470,0.00251328,0.00233862,0.07588890,0.00228727,0.00511216,0.00607183
5.57378689,0.07231948,0.11840895,0.00008821,0.00253633,0.00198401,0.07554862,0.00201522,0.00461500,0.00592918
5.57978989,0.07113077,0.11394313,0.00010586,0.00266677,0.00170898,0.07845876,0.00182541,0.00430732,0.00604729
5.58579290,0.07301120,0.11440758,0.00012824,0.00290945,0.00150828,0.08472658,0.00171481,0.00418227,0.00643490
5.59179590,0.07802777,0.11987525,0.00015602,0.00327051,0.00137774,0.09450201,0.00168155,0.00423518,0.00710508
5.59779890,0.08629126,0.13049482,0.00018995,0.00375731,0.00131452,0.10797557,0.00172506,0.00446360,0.00807543
