energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-2.37418709,1.70743677,1.99275328,0.06625752,0.57124284,0.00000000,0.85585731,0.00000000
-2.36818409,1.65371899,1.92224505,0.06477876,0.56012465,0.00000000,0.80860664,0.00000000
-2.36218109,1.59656430,1.84677191,0.06317556,0.54722490,0.00000000,0.76091532,0.00000000
-2.35617809,1.53673456,1.76737977,0.06146526,0.53272209,0.00000000,0.71342934,0.00000000
-2.35017509,1.47497149,1.68511112,0.05966561,0.51680584,0.00000000,0.66673436,0.00000000
-2.34417209,1.41198637,1.60098492,0.05779455,0.49967350,0.00000000,0.62134818,0.00000000
-2.33816908,1.34845330,1.51598025,0.05587010,0.48152734,0.00000000,0.57771684,0.00000000
-2.33216608,1.28500575,1.43102378,0.05391030,0.46257218,0.00000000,0.53621398,0.00000000
-2.32616308,1.22223568,1.34698096,0.05193334,0.44301346,0.00000000,0.49714311,0.00000000
-2.32016008,1.16069474,1.26465034,0.04995757,0.42305563,0.00000000,0.46074217,0.00000000
-2.31415708,1.10089671,1.18476068,0.04800166,0.40290074,0.00000000,0.42718982,0.00000000
-2.30815408,1.04332039,1.10797025,0.04608464,0.38274707,0.00000000,0.39661266,0.00000000
-2.30215108,0.98841238,1.03486757,0.04422593,0.36278786,0.00000000,0.36909299,0.00000000
-2.29614807,0.93658900,0.96597309,0.04244525,0.34320978,0.00000000,0.34467631,0.00000000
-2.29014507,0.88823696,0.90174126,0.04076251,0.32419135,0.00000000,0.32337818,0.00000000
-2.28414207,0.84371255,0.84256244,0.03919747,0.30590107,0.00000000,0.30519016,0.00000000
-2.27813907,0.80333906,0.78876445,0.03776947,0.28849543,0.00000000,0.29008444,0.00000000
-2.27213607,0.76740273,0.74061342,0.03649690,0.27211670,0.00000000,0.27801709,0.00000000
-2.26613307,0.73614726,0.69831397,0.03539675,0.25689073,0.00000000,0.26893010,0.00000000
-2.26013007,0.70976745,0.66200868,0.03448403,0.24292469,0.00000000,0.26275208,0.00000000
-2.25412706,0.68840233,0.63177713,0.03377122,0.23030512,0.00000000,0.25939806,0.00000000
-2.24812406,0.67212849,0.60763470,0.03326769,0.21909608,0.00000000,0.25876861,0.00000000
-2.24212106,0.66095407,0.58953145,0.03297926,0.20933795,0.00000000,0.26074850,0.00000000
-2.23611806,0.65481417,0.57735148,0.03290783,0.20104660,0.00000000,0.26520542,0.00000000
-2.23011506,0.65356808,0.57091315,0.03305103,0.19421330,0.00000000,0.27198898,0.00000000
-2.22411206,0.65699887,0.56997048,0.03340220,0.18880538,0.00000000,0.28093030,0.00000000
-2.21810905,0.66481558,0.57421589,0.03395034,0.18476756,0.00000000,0.29184236,0.00000000
-2.21210605,0.67665818,0.58328480,0.03468038,0.18202410,0.00000000,0.30452144,0.00000000
-2.20610305,0.69210535,0.59676175,0.03557354,0.18048156,0.00000000,0.31874950,0.00000000
-2.20010005,0.71068484,0.61418841,0.03660785,0.18003224,0.00000000,0.33429762,0.00000000
-2.19409705,0.73188604,0.63507312,0.03775885,0.18055806,0.00000000,0.35093030,0.00000000
-2.18809405,0.75517433,0.65890181,0.03900038,0.18193467,0.00000000,0.36841053,0.00000000
-2.18209105,0.78000655,0.68514983,0.04030542,0.18403580,0.00000000,0.38650522,0.00000000
-2.17608804,0.80584694,0.71329442,0.04164703,0.18673746,0.00000000,0.40499081,0.00000000
-2.17008504,0.83218268,0.74282717,0.04299926,0.18992193,0.00000000,0.42365863,0.00000000
-2.16408204,0.85853843,0.77326591,0.04433797,0.19348123,0.00000000,0.44231971,0.00000000
-2.15807904,0.88448906,0.80416565,0.04564164,0.19732012,0.00000000,0.46080861,0.00000000
-2.15207604,0.90967000,0.83512781,0.04689203,0.20135824,0.00000000,0.47898617,0.00000000
-2.14607304,0.93378468,0.86580756,0.04807466,0.20553158,0.00000000,0.49674072,0.00000000
-2.14007004,0.95660870,0.89591859,0.04917912,0.20979297,0.00000000,0.51398784,0.00000000
-2.13406703,0.97799061,0.92523542,0.05019924,0.21411185,0.00000000,0.53066841,0.00000000
