energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
1.63581791,6.60079921,0.25247840,0.42801187,1.18695972,1.37603612,0.98573962,0.00000000,0.69775183,3.36059890
1.64182091,6.60320382,0.25194335,0.44123952,1.20909906,1.37162542,1.00130011,0.00000000,0.71217696,3.34887111
1.64782391,6.58911202,0.25156893,0.45443170,1.22852264,1.36414269,1.01579190,0.00000000,0.72550938,3.32493794
1.65382691,6.55773283,0.25136886,0.46749512,1.24487767,1.35351162,1.02884892,0.00000000,0.73737996,3.28851154
1.65982991,6.50858728,0.25134020,0.48032384,1.25786071,1.33968822,1.04011690,0.00000000,0.74742313,3.23959247
1.66583292,6.44151381,0.25146324,0.49279763,1.26722071,1.32266252,1.04926109,0.00000000,0.75528870,3.17846836
1.67183592,6.35666443,0.25170204,0.50478122,1.27276078,1.30245969,1.05597342,0.00000000,0.76065386,3.10570311
1.67783892,6.25449235,0.25200545,0.51612443,1.27433855,1.27914044,1.05997903,0.00000000,0.76323459,3.02211767
1.68384192,6.13573208,0.25230864,0.52666340,1.27186544,1.25280058,1.06104206,0.00000000,0.76279606,2.92876329
1.68984492,6.00137330,0.25253520,0.53622281,1.26530498,1.22356989,1.05897033,0.00000000,0.75916140,2.82688912
1.69584792,5.85263058,0.25259963,0.54461920,1.25467042,1.19161019,1.05361919,0.00000000,0.75221856,2.71790568
1.70185093,5.69091054,0.25241022,0.55166525,1.24002201,1.15711291,1.04489430,0.00000000,0.74192477,2.60334622
1.70785393,5.51777874,0.25187230,0.55717499,1.22146402,1.12029609,1.03275342,0.00000000,0.72830864,2.48482801
1.71385693,5.33492781,0.25089172,0.56096967,1.19914195,1.08140127,1.01720735,0.00000000,0.71146967,2.36401511
1.71985993,5.14414859,0.24937840,0.56288425,1.17323989,1.04069016,0.99832004,0.00000000,0.69157540,2.24258438
1.72586293,4.94730524,0.24725002,0.56277394,1.14397833,0.99844141,0.97620789,0.00000000,0.66885630,2.12219578
1.73186593,4.74631497,0.24443542,0.56052095,1.11161236,0.95494765,0.95103849,0.00000000,0.64359879,2.00446788
1.73786893,4.54313257,0.24087789,0.55604062,1.07643022,0.91051270,0.92302864,0.00000000,0.61613666,1.89095875
1.74387194,4.33973922,0.23653797,0.54928709,1.03875224,0.86544921,0.89244183,0.00000000,0.58684150,1.78315226
1.74987494,4.13813475,0.23139576,0.54025791,0.99892973,0.82007656,0.85958526,0.00000000,0.55611238,1.68244917
1.75587794,3.94033204,0.22545259,0.52899741,0.95734399,0.77471908,0.82480614,0.00000000,0.52436541,1.59016212
1.76188094,3.74835206,0.21873193,0.51559870,0.91440488,0.72970435,0.78848759,0.00000000,0.49202347,1.50751344
1.76788394,3.56421800,0.21127956,0.50020403,0.87054891,0.68536166,0.75104384,0.00000000,0.45950656,1.43563430
1.77388694,3.38994673,0.20316288,0.48300353,0.82623662,0.64202040,0.71291496,0.00000000,0.42722295,1.37556400
1.77988994,3.22753634,0.19446952,0.46423227,0.78194904,0.60000814,0.67456088,0.00000000,0.39556152,1.32824794
1.78589295,3.07894856,0.18530511,0.44416575,0.73818319,0.55964858,0.63645495,0.00000000,0.36488530,1.29453337
1.79189595,2.94608548,0.17579049,0.42311403,0.69544652,0.52125893,0.59907689,0.00000000,0.33552625,1.27516178
1.79789895,2.83076024,0.16605835,0.40141459,0.65425032,0.48514700,0.56290532,0.00000000,0.30778145,1.27075778
1.80390195,2.73466211,0.15624949,0.37942436,0.61510233,0.45160778,0.52840999,0.00000000,0.28191040,1.28181407
