energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-3.01650825,1.47649411,0.68640710,0.00276930,1.64196402,0.40467620,0.00434061,0.45570112
-3.01050525,1.43695115,0.66737679,0.00268638,1.62804578,0.38544496,0.00430108,0.44800515
-3.00450225,1.39437086,0.64699330,0.00260955,1.60554504,0.36670690,0.00425652,0.43834560
-2.99849925,1.34930654,0.62552873,0.00254069,1.57473433,0.34868598,0.00420887,0.42683877
-2.99249625,1.30238330,0.60328506,0.00248170,1.53606492,0.33160138,0.00416026,0.41363907
-2.98649325,1.25429016,0.58059058,0.00243450,1.49015790,0.31566577,0.00411306,0.39893652
-2.98049025,1.20576924,0.55779509,0.00240102,1.43778914,0.30108332,0.00406972,0.38295313
-2.97448724,1.15760184,0.53526377,0.00238310,1.37986840,0.28804762,0.00403276,0.36593789
-2.96848424,1.11059207,0.51336994,0.00238252,1.31741379,0.27673928,0.00400463,0.34816085
-2.96248124,1.06554828,0.49248687,0.00240092,1.25152236,0.26732336,0.00398764,0.32990636
-2.95647824,1.02326309,0.47297891,0.00243976,1.18333836,0.25994654,0.00398383,0.31146578
-2.95047524,0.98449264,0.45519227,0.00250029,1.11402039,0.25473411,0.00399491,0.29312989
-2.94447224,0.94993592,0.43944578,0.00258346,1.04470886,0.25178691,0.00402211,0.27518147
-2.93846923,0.92021500,0.42602204,0.00268994,0.97649507,0.25117824,0.00406617,0.25788805
-2.93246623,0.89585687,0.41515921,0.00282004,0.91039308,0.25295097,0.00412720,0.24149540
-2.92646323,0.87727771,0.40704390,0.00297367,0.84731543,0.25711482,0.00420470,0.22622180
-2.92046023,0.86477009,0.40180530,0.00315036,0.78805337,0.26364414,0.00429753,0.21225332
-2.91445723,0.85849369,0.39951094,0.00334917,0.73326219,0.27247621,0.00440391,0.19974026
-2.90845423,0.85846982,0.40016400,0.00356878,0.68345191,0.28351023,0.00452148,0.18879487
-2.90245123,0.86457994,0.40370260,0.00380739,0.63898327,0.29660702,0.00464736,0.17949024
-2.89644822,0.87656817,0.41000070,0.00406282,0.60006888,0.31158966,0.00477827,0.17186055
-2.89044522,0.89404782,0.41887096,0.00433248,0.56677911,0.32824504,0.00491067,0.16590244
-2.88444222,0.91651160,0.43006916,0.00461344,0.53905216,0.34632637,0.00504087,0.16157748
