energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-4.73336668,0.61104453,0.28262938,0.04187159,0.00003564,0.14676917,0.00335085,0.33034075,0.11411066,0.14562889
-4.72736368,0.62923600,0.29455846,0.04192200,0.00003059,0.15067673,0.00287212,0.34243818,0.11677141,0.15163494
-4.72136068,0.65106346,0.30787542,0.04244096,0.00002607,0.15524189,0.00244435,0.35683345,0.12047778,0.15802183
-4.71535768,0.67591833,0.32225206,0.04338249,0.00002205,0.16029544,0.00206553,0.37323517,0.12511633,0.16464734
-4.70935468,0.70318183,0.33735113,0.04469923,0.00001852,0.16566486,0.00173304,0.39134405,0.13056716,0.17137464
-4.70335168,0.73224044,0.35283432,0.04634350,0.00001545,0.17117863,0.00144374,0.41086061,0.13670691,0.17807554
-4.69734867,0.76250064,0.36837047,0.04826819,0.00001279,0.17667056,0.00119418,0.43149240,0.14341176,0.18463344
-4.69134567,0.79340270,0.38364364,0.05042759,0.00001051,0.18198382,0.00098074,0.45296081,0.15056024,0.19094582
-4.68534267,0.82443299,0.39836092,0.05277814,0.00000858,0.18697475,0.00079971,0.47500716,0.15803601,0.19692627
-4.67933967,0.85513455,0.41225963,0.05527905,0.00000695,0.19151633,0.00064745,0.49739789,0.16573027,0.20250594
-4.67333667,0.88511555,0.42511379,0.05789277,0.00000559,0.19550101,0.00052045,0.51992861,0.17354392,0.20763437
