energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-4.78139070,7.24121616,1.03431627,0.70757592,1.47754819,4.16020200,0.09317440,0.20007170,1.35234443,0.00000000
-4.77538769,7.07174341,1.02056716,0.68160328,1.47223627,4.05528067,0.09139261,0.19938657,1.33162729,0.00000000
-4.76938469,6.90753526,1.00969953,0.65783766,1.46871747,3.95055789,0.08985217,0.19865717,1.31307994,0.00000000
-4.76338169,6.74870240,1.00130141,0.63614640,1.46662161,3.84653842,0.08853294,0.19788286,1.29645990,0.00000000
-4.75737869,6.59498102,0.99490968,0.61634215,1.46550511,3.74353324,0.08741050,0.19705434,1.28145534,0.00000000
-4.75137569,6.44576691,0.99002860,0.59819280,1.46487049,3.64166264,0.08645738,0.19615447,1.26770031,0.00000000
-4.74537269,6.30016673,0.98614946,0.58143264,1.46418956,3.54087008,0.08564434,0.19515987,1.25479221,0.00000000
-4.73936968,6.15706461,0.98277055,0.56577459,1.46292969,3.44094612,0.08494158,0.19404320,1.24231106,0.00000000
-4.73336668,6.01520116,0.97941686,0.55092294,1.46058200,3.34156121,0.08432001,0.19277598,1.22983976,0.00000000
-4.72736368,5.87326099,0.97565864,0.53658614,1.45669036,3.24230558,0.08375224,0.19133176,1.21698428,0.00000000
-4.72136068,5.72996456,0.97112812,0.52248922,1.45087982,3.14273383,0.08321363,0.18968965,1.20339325,0.00000000
-4.71535768,5.58415931,0.96553379,0.50838524,1.44288310,3.04241178,0.08268301,0.18783774,1.18877570,0.00000000
-4.70935468,5.43490548,0.95867153,0.49406551,1.43256372,2.94096261,0.08214332,0.18577643,1.17291630,0.00000000
-4.70335168,5.28155178,0.95043218,0.47936803,1.41993447,2.83810978,0.08158199,0.18352125,1.15568729,0.00000000
-4.69734867,5.12379679,0.94080519,0.46418396,1.40517009,2.73371400,0.08099115,0.18110515,1.13705654,0.00000000
-4.69134567,4.96173279,0.92987826,0.44846181,1.38861325,2.62780230,0.08036752,0.17857985,1.11709129,0.00000000
-4.68534267,4.79586943,0.91783281,0.43220924,1.37077312,2.52058724,0.07971227,0.17601636,1.09595736,0.00000000
-4.67933967,4.62713601,0.90493567,0.41549249,1.35231631,2.41247543,0.07903056,0.17350433,1.07391394,0.00000000
