energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-4.39719860,0.47315281,0.15875864,0.00000000,0.19904238,0.00000000,0.15049052,0.26628962
-4.39119560,0.50816605,0.17183898,0.00000000,0.21612469,0.00000000,0.17485190,0.28386218
-4.38519260,0.55072478,0.18659974,0.00000000,0.23698481,0.00000000,0.20243096,0.30490053
-4.37918959,0.60110743,0.20305508,0.00000000,0.26178749,0.00000000,0.23342417,0.32946446
-4.37318659,0.65949440,0.22120015,0.00000000,0.29064565,0.00000000,0.26800308,0.35756099
-4.36718359,0.72596111,0.24101149,0.00000000,0.32361470,0.00000000,0.30630810,0.38914264
-4.36118059,0.80047241,0.26244752,0.00000000,0.36068774,0.00000000,0.34844275,0.42410654
-4.35517759,0.88287883,0.28544934,0.00000000,0.40179186,0.00000000,0.39446833,0.46229446
-4.34917459,0.97291488,0.30994161,0.00000000,0.44678576,0.00000000,0.44439960,0.50349379
-4.34317159,1.07019988,0.33583363,0.00000000,0.49545916,0.00000000,0.49820154,0.54743978
-4.33716858,1.17424176,0.36302060,0.00000000,0.54753403,0.00000000,0.55578750,0.59381909
