energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-4.46923462,2.04583848,1.20147534,0.35766923,0.00040057,0.55867478,0.01575321,0.81121452
-4.46323162,2.10396323,1.21424554,0.36976928,0.00040050,0.57634421,0.01609173,0.83395851
-4.45722861,2.16006775,1.22737748,0.38134553,0.00040289,0.59322890,0.01644285,0.85599871
-4.45122561,2.21248617,1.24007264,0.39209137,0.00040718,0.60886965,0.01679387,0.87667041
-4.44522261,2.25959757,1.25151727,0.40171434,0.00041283,0.62282093,0.01713281,0.89532819
-4.43921961,2.29988598,1.26091665,0.40994625,0.00041930,0.63466621,0.01744886,0.91137087
-4.43321661,2.33199824,1.26752911,0.41655289,0.00042607,0.64403296,0.01773295,0.92426531
-4.42721361,2.35479719,1.27069819,0.42134279,0.00043270,0.65060662,0.01797811,0.93356798
-4.42121061,2.36740742,1.26988135,0.42417457,0.00043878,0.65414266,0.01817983,0.93894344
-4.41520760,2.36925141,1.26467372,0.42496267,0.00044399,0.65447623,0.01833629,0.94017872
-4.40920460,2.36007420,1.25482587,0.42368081,0.00044808,0.65152876,0.01844848,0.93719299
-4.40320160,2.33995536,1.24025464,0.42036339,0.00045088,0.64531129,0.01852023,0.93004203
-4.39719860,2.30930762,1.22104673,0.41510441,0.00045232,0.63592412,0.01855805,0.91891730
-4.39119560,2.26886227,1.19745479,0.40805408,0.00045242,0.62355307,0.01857090,0.90413964
-4.38519260,2.21964182,1.16988649,0.39941320,0.00045128,0.60846219,0.01856983,0.88614781
-4.37918959,2.16292136,1.13888704,0.38942567,0.00044909,0.59098362,0.01856750,0.86548247
-4.37318659,2.10018039,1.10511622,0.37836925,0.00044611,0.57150475,0.01857759,0.84276630
-4.36718359,2.03304724,1.06932105,0.36654517,0.00044267,0.55045357,0.01861426,0.81868112
-4.36118059,1.96323879,1.03230553,0.35426700,0.00043916,0.52828273,0.01869140,0.79394305
-4.35517759,1.89249801,0.99489888,0.34184919,0.00043599,0.50545306,0.01882203,0.76927673
-4.34917459,1.82253219,0.95792377,0.32959592,0.00043364,0.48241742,0.01901765,0.74538981
-4.34317159,1.75495448,0.92216607,0.31779055,0.00043256,0.45960539,0.01928759,0.72294872
-4.33716858,1.69123108,0.88834732,0.30668630,0.00043327,0.43740960,0.01963858,0.70255658
