energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-4.46923462,3.34747554,0.08003103,0.00000000,1.52596283,1.37768400,0.10571037,1.92585900
-4.46323162,3.18426499,0.07483157,0.00000000,1.50727457,1.29870556,0.10108269,1.85327675
-4.45722861,3.04038923,0.07024314,0.00000000,1.49922399,1.22656474,0.09687642,1.79228632
-4.45122561,2.91566645,0.06621813,0.00000000,1.50071982,1.16148018,0.09310739,1.74256125
-4.44522261,2.80939432,0.06270237,0.00000000,1.51049799,1.10345006,0.08977491,1.70347346
-4.43921961,2.72040752,0.05963750,0.00000000,1.52715636,1.05227094,0.08686316,1.67412837
-4.43321661,2.64714733,0.05696328,0.00000000,1.54919264,1.00756246,0.08434301,1.65340674
-4.42721361,2.58774012,0.05461996,0.00000000,1.57504447,0.96879641,0.08217424,1.64001157
-4.42121061,2.54008138,0.05255060,0.00000000,1.60313065,0.93532879,0.08030800,1.63251821
-4.41520760,2.50192209,0.05070322,0.00000000,1.63189261,0.90643331,0.07868931,1.62942592
-4.40920460,2.47095439,0.04903280,0.00000000,1.65983507,0.88133499,0.07725974,1.62920925
-4.40320160,2.44489382,0.04750309,0.00000000,1.68556494,0.85924272,0.07595982,1.63036758
-4.39719860,2.42155578,0.04608822,0.00000000,1.70782754,0.83937954,0.07473142,1.63147153
-4.39119560,2.39892422,0.04477405,0.00000000,1.72553945,0.82100997,0.07351979,1.63120504
-4.38519260,2.37521106,0.04355936,0.00000000,1.73781708,0.80346356,0.07227538,1.62840208
-4.37918959,2.34890529,0.04245677,0.00000000,1.74400044,0.78615441,0.07095526,1.62207735
-4.37318659,2.31881096,0.04149352,0.00000000,1.74367161,0.76859620,0.06952421,1.61145023
-4.36718359,2.28407387,0.04071203,0.00000000,1.73666738,0.75041287,0.06795547,1.59596192
-4.36118059,2.24419691,0.04017036,0.00000000,1.72308585,0.73134488,0.06623112,1.57528531
-4.35517759,2.19904434,0.03994244,0.00000000,1.70328681,0.71125137,0.06434211,1.54932787
-4.34917459,2.14883556,0.04011821,0.00000000,1.67788569,0.69010841,0.06228801,1.51822759
-4.34317159,2.09412908,0.04080345,0.00000000,1.64774132,0.66800395,0.06007652,1.48234240
