energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-2.62631316,3.06126568,1.69662134,0.00142311,0.01227699,0.17571245,1.61943930,1.42117389
-2.62031016,3.07042081,1.73091827,0.00135586,0.01178702,0.17510537,1.67819351,1.40102473
-2.61430715,3.08126084,1.76656593,0.00129122,0.01130453,0.17509821,1.73689389,1.38140940
-2.60830415,3.09491953,1.80391062,0.00123034,0.01083978,0.17580538,1.79554854,1.36313011
-2.60230115,3.11246664,1.84326184,0.00117433,0.01040245,0.17732827,1.85414316,1.34696265
-2.59629815,3.13485734,1.88487100,0.00112418,0.01000147,0.17975127,1.91262603,1.33362595
-2.59029515,3.16288535,1.92891142,0.00108076,0.00964480,0.18313821,1.97089417,1.32375377
-2.58429215,3.19714182,1.97546044,0.00104478,0.00933928,0.18752922,2.02878150,1.31786987
-2.57828914,3.23798189,2.02448473,0.00101678,0.00909046,0.19293828,2.08604979,1.31636743
-2.57228614,3.28550046,2.07582953,0.00099712,0.00890253,0.19935150,2.14238340,1.31949385
-2.56628314,3.33951850,2.12921265,0.00098598,0.00877823,0.20672626,2.19738812,1.32734127
-2.56028014,3.39958056,2.18422364,0.00098333,0.00871879,0.21499127,2.25059475,1.33984345
-2.55427714,3.46496393,2.24032858,0.00098897,0.00872400,0.22404765,2.30146746,1.35677895
-2.54827414,3.53469914,2.29688036,0.00100251,0.00879220,0.23377105,2.34941693,1.37778053
-2.54227114,3.60760127,2.35313448,0.00102342,0.00892039,0.24401465,2.39381781,1.40235039
-2.53626813,3.68231083,2.40826975,0.00105101,0.00910431,0.25461322,2.43403007,1.42988052
-2.53026513,3.75734260,2.46141326,0.00108449,0.00933865,0.26538792,2.46942319,1.45967738
-2.52426213,3.83114055,2.51166863,0.00112294,0.00961716,0.27615182,2.49940231,1.49098988
