energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-4.48724362,0.97305432,0.10530053,0.00000000,0.38604612,0.64619490,0.33648674,0.00000000
-4.48124062,0.96179739,0.10421834,0.00000000,0.38240176,0.64113258,0.33039749,0.00000000
-4.47523762,0.95490988,0.10430633,0.00000000,0.38326326,0.63821877,0.32526384,0.00000000
-4.46923462,0.95220311,0.10553899,0.00000000,0.38844600,0.63735878,0.32102941,0.00000000
-4.46323162,0.95350197,0.10788846,0.00000000,0.39773848,0.63848016,0.31763834,0.00000000
-4.45722861,0.95864859,0.11132492,0.00000000,0.41090808,0.64153321,0.31503668,0.00000000
-4.45122561,0.96750426,0.11581668,0.00000000,0.42770637,0.64649024,0.31317342,0.00000000
-4.44522261,0.97994983,0.12133014,0.00000000,0.44787407,0.65334376,0.31200120,0.00000000
-4.43921961,0.99588473,0.12782944,0.00000000,0.47114538,0.66210380,0.31147662,0.00000000
-4.43321661,1.01522480,0.13527599,0.00000000,0.49725179,0.67279453,0.31156052,0.00000000
-4.42721361,1.03789918,0.14362796,0.00000000,0.52592530,0.68545017,0.31221798,0.00000000
-4.42121061,1.06384632,0.15283948,0.00000000,0.55690105,0.70011067,0.31341838,0.00000000
-4.41520760,1.09300947,0.16285998,0.00000000,0.58991937,0.71681685,0.31513543,0.00000000
-4.40920460,1.12533155,0.17363337,0.00000000,0.62472726,0.73560546,0.31734720,0.00000000
-4.40320160,1.16074971,0.18509728,0.00000000,0.66107928,0.75650391,0.32003624,0.00000000
-4.39719860,1.19918953,0.19718236,0.00000000,0.69873798,0.77952510,0.32318963,0.00000000
-4.39119560,1.24055910,0.20981163,0.00000000,0.73747376,0.80466203,0.32679907,0.00000000
-4.38519260,1.28474308,0.22289995,0.00000000,0.77706444,0.83188267,0.33086086,0.00000000
-4.37918959,1.33159673,0.23635373,0.00000000,0.81729437,0.86112498,0.33537571,0.00000000
-4.37318659,1.38094043,0.25007074,0.00000000,0.85795341,0.89229236,0.34034846,0.00000000
-4.36718359,1.43255462,0.26394030,0.00000000,0.89883564,0.92524964,0.34578742,0.00000000
-4.36118059,1.48617559,0.27784364,0.00000000,0.93973819,0.95982001,0.35170359,0.00000000
-4.35517759,1.54149235,0.29165469,0.00000000,0.98046009,0.99578287,0.35810948,0.00000000
-4.34917459,1.59814495,0.30524123,0.00000000,1.02080133,1.03287313,0.36501767,0.00000000
-4.34317159,1.65572438,0.31846638,0.00000000,1.06056232,1.07078198,0.37243923,0.00000000
-4.33716858,1.71377454,0.33119048,0.00000000,1.09954362,1.10915937,0.38038180,0.00000000
