energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
1.07153577,0.16969341,0.06024966,0.00000000,0.12252794,0.06701724,0.06275180,0.00000000
1.07753877,0.15621650,0.05674631,0.00000000,0.11362967,0.06072479,0.05576236,0.00000000
1.08354177,0.14534345,0.05398583,0.00000000,0.10654741,0.05554924,0.05002736,0.00000000
1.08954477,0.13681202,0.05186375,0.00000000,0.10105787,0.05139040,0.04543870,0.00000000
1.09554777,0.13037568,0.05028211,0.00000000,0.09695312,0.04815296,0.04189560,0.00000000
1.10155078,0.12581123,0.04915175,0.00000000,0.09404540,0.04574981,0.03930736,0.00000000
1.10755378,0.12292495,0.04839429,0.00000000,0.09217081,0.04410475,0.03759550,0.00000000
1.11355678,0.12155720,0.04794355,0.00000000,0.09119182,0.04315467,0.03669512,0.00000000
1.11955978,0.12158541,0.04774657,0.00000000,0.09099881,0.04285100,0.03655559,0.00000000
1.12556278,0.12292546,0.04776416,0.00000000,0.09151030,0.04316071,0.03714058,0.00000000
1.13156578,0.12553155,0.04797099,0.00000000,0.09267230,0.04406662,0.03842736,0.00000000
1.13756878,0.12939445,0.04835533,0.00000000,0.09445645,0.04556721,0.04040550,0.00000000
1.14357179,0.13453851,0.04891824,0.00000000,0.09685734,0.04767600,0.04307500,0.00000000
1.14957479,0.14101732,0.04967257,0.00000000,0.09988889,0.05042039,0.04644392,0.00000000
1.15557779,0.14890836,0.05064156,0.00000000,0.10358001,0.05384027,0.05052551,0.00000000
1.16158079,0.15830676,0.05185719,0.00000000,0.10796971,0.05798628,0.05533507,0.00000000
1.16758379,0.16931855,0.05335841,0.00000000,0.11310172,0.06291790,0.06088656,0.00000000
1.17358679,0.18205353,0.05518926,0.00000000,0.11901902,0.06870149,0.06718908,0.00000000
1.17958979,0.19661811,0.05739689,0.00000000,0.12575820,0.07540826,0.07424341,0.00000000
1.18559280,0.21310848,0.06002972,0.00000000,0.13334423,0.08311233,0.08203874,0.00000000
1.19159580,0.23160432,0.06313566,0.00000000,0.14178556,0.09188892,0.09054967,0.00000000
1.19759880,0.25216328,0.06676053,0.00000000,0.15106993,0.10181273,0.09973379,0.00000000
1.20360180,0.27481659,0.07094668,0.00000000,0.16116109,0.11295652,0.10952981,0.00000000
1.20960480,0.29956588,0.07573187,0.00000000,0.17199655,0.12538989,0.11985644,0.00000000
1.21560780,0.32638128,0.08114839,0.00000000,0.18348650,0.13917824,0.13061217,0.00000000
1.22161081,0.35520089,0.08722244,0.00000000,0.19551408,0.15438189,0.14167588,0.00000000
1.22761381,0.38593159,0.09397375,0.00000000,0.20793685,0.17105516,0.15290850,0.00000000
1.23361681,0.41845093,0.10141527,0.00000000,0.22058959,0.18924544,0.16415551,0.00000000
1.23961981,0.45261001,0.10955307,0.00000000,0.23328828,0.20899204,0.17525030,0.00000000
1.24562281,0.48823691,0.11838621,0.00000000,0.24583506,0.23032474,0.18601836,0.00000000
1.25162581,0.52514057,0.12790658,0.00000000,0.25802397,0.25326192,0.19628196,0.00000000
1.25762881,0.56311450,0.13809859,0.00000000,0.26964726,0.27780808,0.20586532,0.00000000
