energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.40420210,2.50437021,0.00087616,0.09931046,0.17231692,1.77766466,0.02287105,0.17872119,0.31712268,0.49665353
-2.39819910,2.59581549,0.00084697,0.10395386,0.18134851,1.85498610,0.02345541,0.18213135,0.32718924,0.50453609
-2.39219610,2.68789958,0.00082624,0.10832848,0.19020099,1.93079075,0.02407713,0.18581055,0.33761161,0.51433439
-2.38619310,2.77951855,0.00081366,0.11235305,0.19873786,2.00402888,0.02472668,0.18974812,0.34820733,0.52610063
-2.38019010,2.86952600,0.00080884,0.11595014,0.20682295,2.07365530,0.02539345,0.19392632,0.35878583,0.53984849
-2.37418709,2.95677106,0.00081131,0.11904879,0.21432447,2.13866342,0.02606611,0.19832166,0.36915474,0.55555293
-2.36818409,3.04013549,0.00082050,0.12158705,0.22111893,2.19811793,0.02673307,0.20290618,0.37912585,0.57315039
-2.36218109,3.11856767,0.00083581,0.12351411,0.22709479,2.25118438,0.02738288,0.20764848,0.38852078,0.59253932
-2.35617809,3.19111202,0.00085654,0.12479211,0.23215568,2.29715435,0.02800460,0.21251468,0.39717574,0.61358081
-2.35017509,3.25693227,0.00088199,0.12539733,0.23622306,2.33546480,0.02858809,0.21746888,0.40494551,0.63609954
-2.34417209,3.31532762,0.00091140,0.12532092,0.23923820,2.36571101,0.02912425,0.22247344,0.41170629,0.65988481
-2.33816908,3.36574142,0.00094400,0.12456892,0.24116341,2.38765239,0.02960523,0.22748875,0.41735745,0.68469180
-2.33216608,3.40776246,0.00097902,0.12316180,0.24198250,2.40121139,0.03002446,0.23247288,0.42182219,0.71024328
-2.32616308,3.44111924,0.00101570,0.12113337,0.24170052,2.40646563,0.03037673,0.23738083,0.42504712,0.73623167
-2.32016008,3.46566852,0.00105329,0.11852922,0.24034272,2.40363437,0.03065808,0.24216385,0.42700100,0.76232185
-2.31415708,3.48137939,0.00109106,0.11540476,0.23795295,2.39306015,0.03086575,0.24676860,0.42767274,0.78815476
-2.30815408,3.48831460,0.00112835,0.11182301,0.23459152,2.37518713,0.03099799,0.25113665,0.42706883,0.81335195
-2.30215108,3.48661091,0.00116452,0.10785216,0.23033266,2.35053765,0.03105388,0.25520415,0.42521062,0.83752126
-2.29614807,3.47646031,0.00119899,0.10356317,0.22526176,2.31968853,0.03103320,0.25890200,0.42213145,0.86026360
-2.29014507,3.45809362,0.00123128,0.09902736,0.21947252,2.28324852,0.03093622,0.26215646,0.41787398,0.88118087
-2.28414207,3.43176792,0.00126095,0.09431424,0.21306409,2.24183846,0.03076352,0.26489042,0.41248791,0.89988497
-2.27813907,3.39775875,0.00128767,0.08948967,0.20613842,2.19607487,0.03051593,0.26702513,0.40602808,0.91600750
-2.27213607,3.35635757,0.00131119,0.08461422,0.19879787,2.14655803,0.03019442,0.26848260,0.39855324,0.92921020
-2.26613307,3.30787449,0.00133138,0.07974209,0.19114310,2.09386462,0.02980006,0.26918830,0.39012530,0.93919538
-2.26013007,3.25264588,0.00134819,0.07492033,0.18327137,2.03854511,0.02933405,0.26907434,0.38080921,0.94571623
-2.25412706,3.19104599,0.00136172,0.07018846,0.17527531,1.98112545,0.02879777,0.26808270,0.37067329,0.94858637
-2.24812406,3.12350113,0.00137217,0.06557856,0.16724194,1.92211240,0.02819288,0.26616854,0.35978996,0.94768820
-2.24212106,3.05050520,0.00137987,0.06111553,0.15925219,1.86200142,0.02752143,0.26330317,0.34823661,0.94297956
-2.23611806,2.97263468,0.00138528,0.05681776,0.15138066,1.80128618,0.02678596,0.25947674,0.33609667,0.93449833
-2.23011506,2.89056141,0.00138899,0.05269787,0.14369562,1.74046840,0.02598970,0.25470031,0.32346042,0.92236457
-2.22411206,2.80506179,0.00139170,0.04876369,0.13625925,1.68006668,0.02513662,0.24900711,0.31042565,0.90677997
-2.21810905,2.71702083,0.00139423,0.04501915,0.12912792,1.62062347,0.02423159,0.24245310,0.29709795,0.88802454
-2.21210605,2.62743019,0.00139749,0.04146527,0.12235252,1.56270896,0.02328037,0.23511655,0.28359044,0.86645045
-2.20610305,2.53737955,0.00140250,0.03810107,0.11597883,1.50692139,0.02228971,0.22709670,0.27002304,0.84247333
-2.20010005,2.44804122,0.00141029,0.03492429,0.11004773,1.45388325,0.02126727,0.21851164,0.25652118,0.81656115
-2.19409705,2.36064814,0.00142196,0.03193209,0.10459533,1.40423331,0.02022158,0.20949533,0.24321395,0.78922117
-2.18809405,2.27646625,0.00143860,0.02912153,0.09965306,1.35861470,0.01916192,0.20019407,0.23023182,0.76098553
-2.18209105,2.19676219,0.00146123,0.02648991,0.09524752,1.31765954,0.01809816,0.19076242,0.21770406,0.73239587
-2.17608804,2.12276789,0.00149082,0.02403502,0.09140034,1.28197085,0.01704059,0.18135889,0.20575578,0.70398784
-2.17008504,2.05564377,0.00152819,0.02175519,0.08812789,1.25210289,0.01599968,0.17214158,0.19450507,0.67627595
-2.16408204,1.99644243,0.00157400,0.01964932,0.08544097,1.22854088,0.01498590,0.16326391,0.18406007,0.64973941
-2.15807904,1.94607463,0.00162870,0.01771677,0.08334459,1.21168151,0.01400944,0.15487068,0.17451632,0.62480959
-2.15207604,1.90527945,0.00169249,0.01595723,0.08183769,1.20181533,0.01308001,0.14709466,0.16595444,0.60185947
