energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
3.94697349,3.27660218,0.00562373,0.19442110,0.90654017,0.00000000,0.06349978,0.31516303,0.43219715,2.35162619
3.95297649,3.32112149,0.00602412,0.19556254,0.90772572,0.00000000,0.06221602,0.31737841,0.43365680,2.39576450
3.95897949,3.36082626,0.00645228,0.19607252,0.90815951,0.00000000,0.06071555,0.31903973,0.43417687,2.43734079
3.96498249,3.39642926,0.00690764,0.19601548,0.90788669,0.00000000,0.05903969,0.32027360,0.43392656,2.47672486
3.97098549,3.42873522,0.00738881,0.19546495,0.90699179,0.00000000,0.05723145,0.32121299,0.43309049,2.51434021
3.97698849,3.45859975,0.00789355,0.19450067,0.90559218,0.00000000,0.05533424,0.32199188,0.43186212,2.55063750
3.98299150,3.48688674,0.00841873,0.19320560,0.90383003,0.00000000,0.05339062,0.32274019,0.43043721,2.58606680
3.98899450,3.51442641,0.00896037,0.19166298,0.90186305,0.00000000,0.05144112,0.32357888,0.42900763,2.62105011
3.99499750,3.54197624,0.00951371,0.18995353,0.89985473,0.00000000,0.04952327,0.32461566,0.42775577,2.65595563
4.00100050,3.57018653,0.01007332,0.18815301,0.89796460,0.00000000,0.04767082,0.32594136,0.42684986,2.69107508
4.00700350,3.59957241,0.01063324,0.18633006,0.89633906,0.00000000,0.04591305,0.32762717,0.42644025,2.72660525
4.01300650,3.63049320,0.01118717,0.18454464,0.89510323,0.00000000,0.04427447,0.32972283,0.42665677,2.76263458
4.01900950,3.66314007,0.01172863,0.18284694,0.89435435,0.00000000,0.04277458,0.33225575,0.42760716,2.79913544
4.02501251,3.69753209,0.01225121,0.18127685,0.89415691,0.00000000,0.04142793,0.33523112,0.42937658,2.83596212
4.03101551,3.73352035,0.01274876,0.17986399,0.89453974,0.00000000,0.04024430,0.33863301,0.43202792,2.87285463
