energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.01550775,7.54660737,0.99406212,0.00000000,4.53605260,5.82995225,0.58604913,0.00000000
-5.00950475,7.52974841,1.00472154,0.00000000,4.60676840,5.81162215,0.57285306,0.00000000
-5.00350175,7.49708170,1.01130030,0.00000000,4.66371566,5.78176766,0.56028228,0.00000000
-4.99749875,7.44920818,1.01368457,0.00000000,4.70602955,5.74104030,0.54852449,0.00000000
-4.99149575,7.38697137,1.01183500,0.00000000,4.73313876,5.69025555,0.53774723,0.00000000
-4.98549275,7.31143836,1.00578908,0.00000000,4.74478050,5.63037323,0.52809235,0.00000000
-4.97948974,7.22387455,0.99566129,0.00000000,4.74100569,5.56247407,0.51967133,0.00000000
-4.97348674,7.12571281,0.98164090,0.00000000,4.72217408,5.48773303,0.51256186,0.00000000
-4.96748374,7.01851834,0.96398757,0.00000000,4.68893961,5.40739065,0.50680569,0.00000000
-4.96148074,6.90395041,0.94302480,0.00000000,4.64222680,5.32272316,0.50240792,0.00000000
-4.95547774,6.78372255,0.91913157,0.00000000,4.58319941,5.23501272,0.49933773,0.00000000
-4.94947474,6.65956270,0.89273248,0.00000000,4.51322259,5.14551869,0.49753056,0.00000000
-4.94347174,6.53317474,0.86428673,0.00000000,4.43382060,5.05545121,0.49689158,0.00000000
-4.93746873,6.40620290,0.83427642,0.00000000,4.34663158,4.96594771,0.49730028,0.00000000
-4.93146573,6.28020011,0.80319450,0.00000000,4.25336144,4.87805333,0.49861598,0.00000000
-4.92546273,6.15660129,0.77153295,0.00000000,4.15573837,4.79270565,0.50068400,0.00000000
-4.91945973,6.03670210,0.73977140,0.00000000,4.05546976,4.71072395,0.50334205,0.00000000
-4.91345673,5.92164346,0.70836660,0.00000000,3.95420249,4.63280311,0.50642675,0.00000000
-4.90745373,5.81240180,0.67774310,0.00000000,3.85348790,4.55951179,0.50977973,0.00000000
-4.90145073,5.70978460,0.64828518,0.00000000,3.75475183,4.49129464,0.51325315,0.00000000
-4.89544772,5.61443075,0.62033029,0.00000000,3.65927030,4.42847758,0.51671432,0.00000000
-4.88944472,5.52681476,0.59416411,0.00000000,3.56815077,4.37127585,0.52004920,0.00000000
-4.88344172,5.44725409,0.57001705,0.00000000,3.48231893,4.31980356,0.52316473,0.00000000
-4.87743872,5.37591865,0.54806243,0.00000000,3.40251058,4.27408442,0.52598975,0.00000000
-4.87143572,5.31284157,0.52841599,0.00000000,3.32926834,4.23406258,0.52847464,0.00000000
-4.86543272,5.25793057,0.51113681,0.00000000,3.26294246,4.19961318,0.53058974,0.00000000
-4.85942971,5.21097938,0.49622942,0.00000000,3.20369536,4.17055210,0.53232264,0.00000000
-4.85342671,5.17167875,0.48364691,0.00000000,3.15150938,4.14664468,0.53367464,0.00000000
-4.84742371,5.13962711,0.47329507,0.00000000,3.10619727,4.12761326,0.53465661,0.00000000
-4.84142071,5.11434061,0.46503716,0.00000000,3.06741504,4.11314366,0.53528451,0.00000000
-4.83541771,5.09526303,0.45869936,0.00000000,3.03467696,4.10289076,0.53557497,0.00000000
-4.82941471,5.08177561,0.45407670,0.00000000,3.00737232,4.09648345,0.53554111,0.00000000
-4.82341171,5.07320717,0.45093928,0.00000000,2.98478395,4.09352928,0.53518904,0.00000000
-4.81740870,5.06884497,0.44903875,0.00000000,2.96610808,4.09361915,0.53451504,0.00000000
-4.81140570,5.06794635,0.44811482,0.00000000,2.95047553,4.09633226,0.53350388,0.00000000
-4.80540270,5.06975134,0.44790177,0.00000000,2.93697391,4.10124152,0.53212809,0.00000000
-4.79939970,5.07349627,0.44813482,0.00000000,2.92467059,4.10791948,0.53034846,0.00000000
-4.79339670,5.07842817,0.44855613,0.00000000,2.91263612,4.11594481,0.52811552,0.00000000
-4.78739370,5.08381962,0.44892054,0.00000000,2.89996760,4.12490904,0.52537199,0.00000000
-4.78139070,5.08898352,0.44900075,0.00000000,2.88581163,4.13442346,0.52205610,0.00000000
-4.77538769,5.09328746,0.44859190,0.00000000,2.86938624,4.14412580,0.51810533,0.00000000
-4.76938469,5.09616687,0.44751549,0.00000000,2.85000128,4.15368627,0.51346059,0.00000000
-4.76338169,5.09713646,0.44562258,0.00000000,2.82707658,4.16281283,0.50807039,0.00000000
-4.75737869,5.09579953,0.44279609,0.00000000,2.80015736,4.17125516,0.50189481,0.00000000
-4.75137569,5.09185448,0.43895235,0.00000000,2.76892631,4.17880730,0.49490912,0.00000000
-4.74537269,5.08509850,0.43404165,0.00000000,2.73321187,4.18530874,0.48710668,0.00000000
-4.73936968,5.07542816,0.42804804,0.00000000,2.69299218,4.19064397,0.47850114,0.00000000
