energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
1.97798899,1.68783171,0.01046596,0.07492103,1.20471617,1.18485280,0.02871830,0.31598255,0.20342832,0.00241211
1.98399200,1.70857026,0.01054604,0.07455549,1.20132202,1.20877177,0.02822167,0.32227228,0.20495022,0.00249694
1.98999500,1.72841753,0.01058179,0.07427467,1.19693078,1.23182791,0.02764115,0.32857801,0.20601820,0.00258747
1.99599800,1.74795814,0.01057500,0.07412938,1.19200637,1.25438116,0.02699109,0.33498046,0.20667512,0.00268446
2.00200100,1.76782392,0.01052879,0.07416804,1.18703633,1.27683499,0.02628717,0.34156918,0.20697448,0.00278868
2.00800400,1.78866045,0.01044740,0.07443458,1.18250742,1.29961215,0.02554585,0.34843789,0.20697853,0.00290086
2.01400700,1.81109164,0.01033598,0.07496648,1.17888033,1.32312854,0.02478367,0.35567947,0.20675618,0.00302166
2.02001001,1.83568405,0.01020025,0.07579289,1.17656508,1.34776633,0.02401669,0.36338060,0.20638077,0.00315158
2.02601301,1.86291280,0.01004631,0.07693310,1.17589806,1.37384796,0.02325991,0.37161657,0.20592768,0.00329096
2.03201601,1.89313078,0.00988029,0.07839528,1.17712219,1.40161224,0.02252677,0.38044624,0.20547208,0.00343990
2.03801901,1.92654290,0.00970810,0.08017561,1.18037100,1.43119413,0.02182876,0.38990766,0.20508656,0.00359822
2.04402201,1.96318682,0.00953525,0.08225787,1.18565776,1.46260929,0.02117507,0.40001437,0.20483902,0.00376546
2.05002501,2.00292131,0.00936659,0.08461351,1.19287013,1.49574440,0.02057245,0.41075283,0.20479078,0.00394084
2.05602801,2.04542304,0.00920619,0.08720216,1.20177082,1.53035394,0.02002512,0.42208078,0.20499484,0.00412326
2.06203102,2.09019223,0.00905730,0.08997267,1.21200425,1.56606378,0.01953483,0.43392706,0.20549461,0.00431131
2.06803402,2.13656689,0.00892227,0.09286451,1.22310905,1.60238159,0.01910105,0.44619251,0.20632293,0.00450328
2.07403702,2.18374535,0.00880264,0.09580964,1.23453573,1.63871354,0.01872128,0.45875231,0.20750158,0.00469720
2.08004002,2.23081586,0.00869920,0.09873465,1.24566889,1.67438665,0.01839139,0.47145937,0.20904112,0.00489089
2.08604302,2.27679196,0.00861217,0.10156311,1.25585271,1.70867573,0.01810611,0.48414876,0.21094124,0.00508202
2.09204602,2.32065200,0.00854137,0.10421807,1.26441861,1.74083332,0.01785953,0.49664298,0.21319149,0.00526814
2.09804902,2.36138066,0.00848644,0.10662458,1.27071371,1.77012145,0.01764564,0.50875782,0.21577241,0.00544678
2.10405203,2.39801063,0.00844706,0.10871213,1.27412870,1.79584333,0.01745883,0.52030841,0.21865692,0.00561552
2.11005503,2.42966226,0.00842319,0.11041686,1.27412374,1.81737343,0.01729439,0.53111539,0.22181202,0.00577202
2.11605803,2.45557915,0.00841529,0.11168357,1.27025126,1.83418438,0.01714896,0.54101066,0.22520062,0.00591414
