energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
1.67783892,1.61532811,0.43590985,0.00000000,1.19375158,0.84640654,0.14014891,0.24801308
1.68384192,1.62803365,0.42976510,0.00000000,1.18735531,0.85532751,0.14305210,0.24158032
1.68984492,1.64408909,0.42459206,0.00000000,1.18425102,0.86602754,0.14567928,0.23523148
1.69584792,1.66324792,0.42042333,0.00000000,1.18463532,0.87830767,0.14795984,0.22905776
1.70185093,1.68519354,0.41726840,0.00000000,1.18862089,0.89193833,0.14982461,0.22313529
1.70785393,1.70954249,0.41511308,0.00000000,1.19623008,0.90666267,0.15120849,0.21752404
1.71385693,1.73584973,0.41391967,0.00000000,1.20739127,0.92220060,0.15205302,0.21226758
1.71985993,1.76361562,0.41362759,0.00000000,1.22193794,0.93825351,0.15230876,0.20739344
1.72586293,1.79229440,0.41415461,0.00000000,1.23961055,0.95450923,0.15193737,0.20291418
1.73186593,1.82130378,0.41539847,0.00000000,1.26006107,0.97064729,0.15091324,0.19882892
1.73786893,1.85003544,0.41723886,0.00000000,1.28286026,0.98634425,0.14922463,0.19512537
1.74387194,1.87786633,0.41953973,0.00000000,1.30750740,1.00127904,0.14687419,0.19178216
1.74987494,1.90417048,0.42215184,0.00000000,1.33344252,1.01513830,0.14387891,0.18877136
1.75587794,1.92833150,0.42491566,0.00000000,1.36006079,1.02762177,0.14026953,0.18606129
1.76188094,1.94975541,0.42766447,0.00000000,1.38672899,1.03844768,0.13608932,0.18361923
1.76788394,1.96788408,0.43022780,0.00000000,1.41280359,1.04735819,0.13139250,0.18141421
1.77388694,1.98220883,0.43243515,0.00000000,1.43765015,1.05412494,0.12624224,0.17941975
1.77988994,1.99228423,0.43411996,0.00000000,1.46066344,1.05855466,0.12070840,0.17761634
1.78589295,1.99774165,0.43512382,0.00000000,1.48128770,1.06049458,0.11486524,0.17599382
1.79189595,1.99830227,0.43530079,0.00000000,1.49903631,1.05983779,0.10878899,0.17455341
1.79789895,1.99378886,0.43452179,0.00000000,1.51351011,1.05652802,0.10255564,0.17330943
1.80390195,1.98413589,0.43267877,0.00000000,1.52441339,1.05056373,0.09623885,0.17229048
1.80990495,1.96939707,0.42968863,0.00000000,1.53156692,1.04200113,0.08990817,0.17154027
1.81590795,1.94974986,0.42549660,0.00000000,1.53491700,1.03095577,0.08362762,0.17111768
1.82191096,1.92549619,0.42007883,0.00000000,1.53454001,1.01760245,0.07745455,0.17109623
1.82791396,1.89705876,0.41344410,0.00000000,1.53064181,1.00217307,0.07143896,0.17156279
1.83391696,1.86497285,0.40563446,0.00000000,1.52355173,0.98495233,0.06562308,0.17261551
1.83991996,1.82987324,0.39672458,0.00000000,1.51371110,0.96627107,0.06004136,0.17436092
