energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-4.68534267,0.92765916,0.30919799,0.39104986,0.04111946,0.00000000,0.44474290,0.00000000
-4.67933967,0.90107623,0.31016851,0.38142825,0.04062866,0.00000000,0.42880731,0.00000000
-4.67333667,0.87510520,0.31148403,0.37193236,0.04019902,0.00000000,0.41320931,0.00000000
-4.66733367,0.85002322,0.31324521,0.36266106,0.03983645,0.00000000,0.39811911,0.00000000
-4.66133067,0.82613858,0.31557092,0.35373977,0.03955044,0.00000000,0.38370220,0.00000000
-4.65532766,0.80378293,0.31859246,0.34531665,0.03935363,0.00000000,0.37011649,0.00000000
-4.64932466,0.78330208,0.32244740,0.33755784,0.03926118,0.00000000,0.35750935,0.00000000
-4.64332166,0.76504562,0.32727331,0.33064192,0.03929012,0.00000000,0.34601450,0.00000000
-4.63731866,0.74935604,0.33320168,0.32475378,0.03945860,0.00000000,0.33574907,0.00000000
-4.63131566,0.73655780,0.34035241,0.32007831,0.03978511,0.00000000,0.32681093,0.00000000
-4.62531266,0.72694682,0.34882898,0.31679403,0.04028775,0.00000000,0.31927642,0.00000000
-4.61930965,0.72078099,0.35871466,0.31506703,0.04098349,0.00000000,0.31319873,0.00000000
-4.61330665,0.71827194,0.37006964,0.31504527,0.04188750,0.00000000,0.30860700,0.00000000
-4.60730365,0.71957840,0.38292926,0.31685363,0.04301257,0.00000000,0.30550610,0.00000000
-4.60130065,0.72480143,0.39730323,0.32058958,0.04436861,0.00000000,0.30387733,0.00000000
-4.59529765,0.73398131,0.41317572,0.32631979,0.04596223,0.00000000,0.30367979,0.00000000
-4.58929465,0.74709632,0.43050610,0.33407747,0.04779641,0.00000000,0.30485251,0.00000000
-4.58329165,0.76406301,0.44923020,0.34386068,0.04987027,0.00000000,0.30731701,0.00000000
-4.57728864,0.78473793,0.46926180,0.35563135,0.05217886,0.00000000,0.31098038,0.00000000
-4.57128564,0.80892045,0.49049415,0.36931510,0.05471307,0.00000000,0.31573848,0.00000000
-4.56528264,0.83635636,0.51280128,0.38480175,0.05745959,0.00000000,0.32147922,0.00000000
-4.55927964,0.86674219,0.53603911,0.40194643,0.06040085,0.00000000,0.32808570,0.00000000
-4.55327664,0.89972979,0.56004608,0.42057124,0.06351507,0.00000000,0.33543901,0.00000000
-4.54727364,0.93493118,0.58464344,0.44046750,0.06677634,0.00000000,0.34342069,0.00000000
-4.54127064,0.97192357,0.60963526,0.46139840,0.07015477,0.00000000,0.35191471,0.00000000
-4.53526763,1.01025446,0.63480819,0.48310228,0.07361664,0.00000000,0.36080889,0.00000000
-4.52926463,1.04944686,0.65993129,0.50529620,0.07712471,0.00000000,0.36999588,0.00000000
-4.52326163,1.08900483,0.68475608,0.52768021,0.08063853,0.00000000,0.37937367,0.00000000
-4.51725863,1.12841928,0.70901713,0.54994190,0.08411495,0.00000000,0.38884571,0.00000000
-4.51125563,1.16717422,0.73243330,0.57176155,0.08750867,0.00000000,0.39832078,0.00000000
-4.50525263,1.20475359,0.75471003,0.59281765,0.09077288,0.00000000,0.40771269,0.00000000
-4.49924962,1.24064854,0.77554263,0.61279271,0.09386013,0.00000000,0.41693992,0.00000000
-4.49324662,1.27436537,0.79462076,0.63137939,0.09672317,0.00000000,0.42592532,0.00000000
-4.48724362,1.30543378,0.81163412,0.64828667,0.09931597,0.00000000,0.43459587,0.00000000
-4.48124062,1.33341549,0.82627908,0.66324597,0.10159470,0.00000000,0.44288275,0.00000000
-4.47523762,1.35791283,0.83826627,0.67601702,0.10351889,0.00000000,0.45072146,0.00000000
-4.46923462,1.37857715,0.84732865,0.68639325,0.10505238,0.00000000,0.45805233,0.00000000
-4.46323162,1.39511659,0.85322982,0.69420647,0.10616437,0.00000000,0.46482110,0.00000000
-4.45722861,1.40730297,0.85577214,0.69933077,0.10683028,0.00000000,0.47097977,0.00000000
-4.45122561,1.41497747,0.85480427,0.70168533,0.10703253,0.00000000,0.47648753,0.00000000
-4.44522261,1.41805477,0.85022767,0.70123601,0.10676104,0.00000000,0.48131172,0.00000000
-4.43921961,1.41652538,0.84200173,0.69799581,0.10601366,0.00000000,0.48542885,0.00000000
-4.43321661,1.41045617,0.83014719,0.69202395,0.10479622,0.00000000,0.48882552,0.00000000
-4.42721361,1.39998882,0.81474767,0.68342373,0.10312246,0.00000000,0.49149917,0.00000000
-4.42121061,1.38533633,0.79594911,0.67233918,0.10101367,0.00000000,0.49345874,0.00000000
-4.41520760,1.36677761,0.77395716,0.65895072,0.09849807,0.00000000,0.49472493,0.00000000
-4.40920460,1.34465042,0.74903259,0.64346991,0.09561006,0.00000000,0.49533040,0.00000000
-4.40320160,1.31934282,0.72148482,0.62613358,0.09238926,0.00000000,0.49531943,0.00000000
-4.39719860,1.29128342,0.69166394,0.60719744,0.08887942,0.00000000,0.49474741,0.00000000
-4.39119560,1.26093080,0.65995161,0.58692963,0.08512726,0.00000000,0.49367988,0.00000000
-4.38519260,1.22876236,0.62675099,0.56560414,0.08118129,0.00000000,0.49219122,0.00000000
-4.37918959,1.19526303,0.59247641,0.54349462,0.07709060,0.00000000,0.49036297,0.00000000
-4.37318659,1.16091400,0.55754300,0.52086851,0.07290373,0.00000000,0.48828177,0.00000000
-4.36718359,1.12618196,0.52235674,0.49798177,0.06866767,0.00000000,0.48603702,0.00000000
-4.36118059,1.09150887,0.48730530,0.47507431,0.06442686,0.00000000,0.48371815,0.00000000
-4.35517759,1.05730279,0.45274994,0.45236615,0.06022250,0.00000000,0.48141174,0.00000000
