energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-0.75337669,4.04276369,2.22628170,0.08407693,0.20801582,1.17067316,0.30439182,1.52774040
-0.74737369,4.11436813,2.26023161,0.08511303,0.21827233,1.20873120,0.30793000,1.53801320
-0.74137069,4.17666890,2.28895419,0.08594216,0.22806802,1.24585511,0.31036854,1.54352555
-0.73536768,4.22911729,2.31211745,0.08655441,0.23731299,1.28183248,0.31166815,1.54420610
-0.72936468,4.27144139,2.32954156,0.08694598,0.24593376,1.31650180,0.31181374,1.54009767
-0.72336168,4.30366033,2.34120647,0.08711947,0.25387594,1.34975937,0.31081483,1.53135834
-0.71735868,4.32608576,2.34725263,0.08708385,0.26110609,1.38156349,0.30870502,1.51825786
-0.71135568,4.33931062,2.34797468,0.08685430,0.26761263,1.41193570,0.30554070,1.50116950
-0.70535268,4.34418544,2.34380852,0.08645159,0.27340583,1.44095883,0.30139883,1.48055778
-0.69934967,4.34178320,2.33531230,0.08590137,0.27851664,1.46877210,0.29637414,1.45696242
-0.69334667,4.33335455,2.32314249,0.08523315,0.28299466,1.49556341,0.29057566,1.43097937
-0.68734367,4.32027524,2.30802601,0.08447921,0.28690514,1.52155913,0.28412291,1.40323975
-0.68134067,4.30398858,2.29072985,0.08367332,0.29032525,1.54701205,0.27714175,1.37438748
-0.67533767,4.28594530,2.27202975,0.08284945,0.29333981,1.57218809,0.26976023,1.34505682
-0.66933467,4.26754406,2.25267913,0.08204049,0.29603672,1.59735241,0.26210441,1.31585049
-0.66333167,4.25007499,2.23337993,0.08127708,0.29850233,1.62275576,0.25429454,1.28731960
-0.65732866,4.23466922,2.21475657,0.08058646,0.30081697,1.64862176,0.24644157,1.25994587
