energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.46323162,9.73817110,1.19533962,7.38621457,0.07706912,0.08093762,0.19057525,1.56850258
-4.45722861,9.84429261,1.22066561,7.42278773,0.08137448,0.08211522,0.19932687,1.61641698
-4.45122561,9.93128279,1.24294529,7.44768437,0.08543582,0.08320853,0.20749118,1.65916670
-4.44522261,9.99791107,1.26197491,7.46035100,0.08919625,0.08421786,0.21499696,1.69627531
-4.43921961,10.04316842,1.27758611,7.46033385,0.09260192,0.08514502,0.22178681,1.72735161
-4.43321661,10.06637594,1.28964871,7.44737068,0.09560339,0.08599328,0.22781907,1.75210198
-4.42721361,10.06729254,1.29807352,7.42148396,0.09815690,0.08676738,0.23306940,1.77034084
-4.42121061,10.04621565,1.30281491,7.38307028,0.10022558,0.08747364,0.23753208,1.78199882
-4.41520760,10.00406894,1.30387323,7.33298028,0.10178044,0.08812009,0.24122073,1.78712831
-4.40920460,9.94247154,1.30129677,7.27258399,0.10280124,0.08871665,0.24416878,1.78590599
-4.40320160,9.86378377,1.29518319,7.20381718,0.10327709,0.08927534,0.24642920,1.77863220
-4.39719860,9.77112538,1.28568022,7.12920469,0.10320676,0.08981047,0.24807390,1.76572696
-4.39119560,9.66836336,1.27298558,7.05185817,0.10259883,0.09033878,0.24919242,1.74772250
-4.38519260,9.56006766,1.25734573,6.97544636,0.10147149,0.09087952,0.24989010,1.72525242
-4.37918959,9.45143429,1.23905351,6.90413752,0.09985209,0.09145444,0.25028570,1.69903759
-4.37318659,9.34817700,1.21844442,6.84251473,0.09777644,0.09208761,0.25050842,1.66986898
-4.36718359,9.25638970,1.19589136,6.79546593,0.09528785,0.09280511,0.25069446,1.63858778
-4.36118059,9.18238346,1.17179808,6.76805183,0.09243604,0.09363451,0.25098309,1.60606331
-4.35517759,9.13250289,1.14659092,6.76535589,0.08927577,0.09460418,0.25151242,1.57316927
-4.34917459,9.11292796,1.12070949,6.79232134,0.08586543,0.09574243,0.25241493,1.54075903
-4.34317159,9.12946810,1.09459598,6.85358109,0.08226553,0.09707645,0.25381287,1.50964072
-4.33716858,9.18735620,1.06868389,6.95328684,0.07853712,0.09863114,0.25581382,1.48055302
