energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.97348674,7.35514604,0.98657801,5.49332593,0.03274188,0.15807621,0.55147962,0.43206697,0.08281850,1.24938361
-4.96748374,7.24538634,0.96498170,5.42891442,0.03168559,0.15672772,0.54040714,0.42267665,0.07978285,1.21945388
-4.96148074,7.12810168,0.94200828,5.35908609,0.03066304,0.15504997,0.52821004,0.41285589,0.07680802,1.18820022
-4.95547774,7.00452364,0.91788048,5.28460414,0.02968375,0.15304534,0.51503314,0.40268782,0.07392834,1.15593153
-4.94947474,6.87590178,0.89283439,5.20624425,0.02875678,0.15072126,0.50103335,0.39225468,0.07117565,1.12295409
-4.94347174,6.74345803,0.86711222,5.12476222,0.02789041,0.14808983,0.48637495,0.38163558,0.06857847,1.08956352
-4.93746873,6.60834598,0.84095537,5.04086518,0.02709180,0.14516740,0.47122509,0.37090462,0.06616119,1.05603773
-4.93146573,6.47161693,0.81459826,4.95518788,0.02636672,0.14197408,0.45574952,0.36012929,0.06394354,1.02263132
-4.92546273,6.33419391,0.78826285,4.86827495,0.02571933,0.13853318,0.44010872,0.34936951,0.06194015,0.98957124
-4.91945973,6.19685470,0.76215420,4.78056987,0.02515200,0.13487072,0.42445455,0.33867700,0.06016030,0.95705412
-4.91345673,6.06022397,0.73645702,4.69241097,0.02466528,0.13101485,0.40892742,0.32809531,0.05860786,0.92524503
-4.90745373,5.92477465,0.71133323,4.60403418,0.02425781,0.12699536,0.39365415,0.31766024,0.05728135,0.89427766
-4.90145073,5.79083768,0.68692057,4.51558236,0.02392644,0.12284315,0.37874637,0.30740068,0.05617421,0.86425584
-4.89544772,5.65861917,0.66333208,4.42712007,0.02366637,0.11858983,0.36429957,0.29733987,0.05527517,0.83525606
-4.88944472,5.52822349,0.64065641,4.33865281,0.02347129,0.11426722,0.35039270,0.28749683,0.05456877,0.80733082
-4.88344172,5.39968047,0.61895876,4.25014933,0.02333366,0.10990701,0.33708825,0.27788794,0.05403595,0.78051254
-4.87743872,5.27297504,0.59828237,4.16156559,0.02324503,0.10554037,0.32443279,0.26852858,0.05365470,0.75481771
-4.87143572,5.14807707,0.57865030,4.07286866,0.02319629,0.10119764,0.31245782,0.25943465,0.05340084,0.73025098
-4.86543272,5.02496981,0.56006750,3.98405927,0.02317802,0.09690800,0.30118091,0.25062385,0.05324874,0.70680908
-4.85942971,4.90367518,0.54252288,3.89519149,0.02318082,0.09269924,0.29060701,0.24211676,0.05317207,0.68448416
-4.85342671,4.78427434,0.52599145,3.80638846,0.02319561,0.08859739,0.28072991,0.23393753,0.05314458,0.66326658
-4.84742371,4.66692283,0.51043636,3.71785336,0.02321389,0.08462656,0.27153372,0.22611413,0.05314076,0.64314697
-4.84142071,4.55185933,0.49581082,3.62987493,0.02322801,0.08080865,0.26299443,0.21867827,0.05313650,0.62411756
