energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-4.87143572,0.70738545,0.38510161,0.12563147,0.00091614,0.17041951,0.34126552,0.00000000,0.46076221,0.00245564
-4.86543272,0.70393763,0.39284466,0.12287199,0.00081930,0.16434556,0.34628579,0.00000000,0.47376826,0.00243928
-4.85942971,0.70806466,0.40553441,0.12144422,0.00072919,0.16044937,0.35458527,0.00000000,0.49160910,0.00244472
-4.85342671,0.71951294,0.42276680,0.12131539,0.00064626,0.15856713,0.36614051,0.00000000,0.51415054,0.00247203
-4.84742371,0.73787944,0.44406315,0.12242849,0.00057085,0.15851125,0.38084247,0.00000000,0.54113810,0.00252068
-4.84142071,0.76261843,0.46887533,0.12470388,0.00050318,0.16007333,0.39849821,0.00000000,0.57219948,0.00258958
-4.83541771,0.79305261,0.49659287,0.12804143,0.00044338,0.16302764,0.41883524,0.00000000,0.60685053,0.00267710
-4.82941471,0.82838845,0.52655213,0.13232355,0.00039152,0.16713486,0.44150875,0.00000000,0.64450510,0.00278110
-4.82341171,0.86773579,0.55804766,0.13741867,0.00034760,0.17214628,0.46611154,0.00000000,0.68448850,0.00289901
-4.81740870,0.91013133,0.59034572,0.14318538,0.00031158,0.17780849,0.49218650,0.00000000,0.72605454,0.00302791
-4.81140570,0.95456558,0.62269967,0.14947702,0.00028344,0.18386825,0.51924124,0.00000000,0.76840582,0.00316461
-4.80540270,1.00001246,0.65436693,0.15614663,0.00026316,0.19007780,0.54676465,0.00000000,0.81071668,0.00330578
-4.79939970,1.04546077,0.68462718,0.16305210,0.00025077,0.19620015,0.57424455,0.00000000,0.85215812,0.00344805
-4.79339670,1.08994632,0.71280092,0.17006129,0.00024638,0.20201443,0.60118615,0.00000000,0.89192400,0.00358810
-4.78739370,1.13258359,0.73826792,0.17705696,0.00025014,0.20732101,0.62713027,0.00000000,0.92925725,0.00372280
-4.78139070,1.17259553,0.76048472,0.18394127,0.00026235,0.21194621,0.65167072,0.00000000,0.96347537,0.00384933
-4.77538769,1.20934018,0.77900034,0.19063964,0.00028335,0.21574634,0.67447008,0.00000000,0.99399376,0.00396524
-4.76938469,1.24233270,0.79346954,0.19710369,0.00031363,0.21861105,0.69527292,0.00000000,1.02034603,0.00406857
-4.76338169,1.27126181,0.80366291,0.20331318,0.00035373,0.22046556,0.71391593,0.00000000,1.04220022,0.00415789
-4.75737869,1.29599936,0.80947319,0.20927667,0.00040431,0.22127190,0.73033427,0.00000000,1.05936991,0.00423239
-4.75137569,1.31660259,0.81091748,0.21503087,0.00046606,0.22102887,0.74456359,0.00000000,1.07181977,0.00429182
-4.74537269,1.33330840,0.80813517,0.22063857,0.00053971,0.21977081,0.75673772,0.00000000,1.07966485,0.00433658
-4.73936968,1.34651976,0.80138139,0.22618522,0.00062602,0.21756513,0.76708158,0.00000000,1.08316377,0.00436761
-4.73336668,1.35678464,0.79101652,0.23177417,0.00072569,0.21450873,0.77589984,0.00000000,1.08270567,0.00438638
-4.72736368,1.36476804,0.77749184,0.23752087,0.00083936,0.21072339,0.78356156,0.00000000,1.07879166,0.00439481
-4.72136068,1.37121847,0.76133222,0.24354603,0.00096756,0.20635040,0.79048135,0.00000000,1.07201137,0.00439514
-4.71535768,1.37693021,0.74311639,0.24996831,0.00111067,0.20154457,0.79709817,0.00000000,1.06301571,0.00438983
-4.70935468,1.38270315,0.72345583,0.25689661,0.00126887,0.19646797,0.80385246,0.00000000,1.05248716,0.00438145
-4.70335168,1.38930210,0.70297309,0.26442256,0.00144211,0.19128351,0.81116286,0.00000000,1.04110886,0.00437255
-4.69734867,1.39741757,0.68228059,0.27261345,0.00163006,0.18614890,0.81940368,0.00000000,1.02953414,0.00436551
-4.69134567,1.40762996,0.66196067,0.28150606,0.00183212,0.18121097,0.82888425,0.00000000,1.01835781,0.00436244
-4.68534267,1.42037893,0.64254783,0.29110172,0.00204737,0.17660073,0.83983119,0.00000000,1.00809071,0.00436508
-4.67933967,1.43593963,0.62451371,0.30136289,0.00227457,0.17242937,0.85237461,0.00000000,0.99913869,0.00437470
