energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-0.72336168,11.02843080,0.01373107,0.29337529,0.23822707,7.85507307,0.05931675,0.77021990,1.16190234,2.52275441
-0.71735868,10.87461704,0.01329402,0.28970937,0.23714225,7.74972181,0.05834606,0.77589694,1.15032247,2.47416150
-0.71135568,10.71978904,0.01281898,0.28553164,0.23578022,7.64913626,0.05725163,0.78263155,1.13729381,2.42002479
-0.70535268,10.56754370,0.01231166,0.28091463,0.23421380,7.55601207,0.05604956,0.79054468,1.12302175,2.36118773
-0.69934967,10.42119112,0.01177810,0.27593971,0.23251943,7.47268059,0.05475763,0.79970951,1.10773107,2.29857050
-0.69334667,10.28365262,0.01122451,0.27069465,0.23077477,7.40103521,0.05339506,0.81014656,1.09165911,2.23314404
-0.68734367,10.15737151,0.01065718,0.26527075,0.22905616,7.34247119,0.05198213,0.82182110,1.07504845,2.16590326
-0.68134067,10.04424092,0.01008245,0.25976005,0.22743623,7.29784165,0.05053984,0.83464294,1.05813944,2.09784103
-0.67533767,9.94555255,0.00950652,0.25425251,0.22598169,7.26743229,0.04908965,0.84846862,1.04116316,2.02992403
-0.66933467,9.86196919,0.00893543,0.24883343,0.22475143,7.25095626,0.04765310,0.86310618,1.02433519,1.96307154
-0.66333167,9.79352291,0.00837494,0.24358129,0.22379500,7.24757038,0.04625162,0.87832211,1.00785062,1.89813813
