energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-3.98899450,6.57330958,0.11956820,4.06034341,0.01115238,0.22076460,1.90638086,2.07556243,0.05725641,0.52656168
-3.98299150,6.56564193,0.12324740,4.06507395,0.01072459,0.22513088,1.90036866,2.05012438,0.05907084,0.52742615
-3.97698849,6.54321249,0.12706059,4.05553575,0.01035122,0.22931344,1.89025728,2.02387495,0.06096650,0.52780963
-3.97098549,6.50662746,0.13101400,4.03207220,0.01003321,0.23329181,1.87626392,1.99703323,0.06294800,0.52776186
-3.96498249,6.45697125,0.13512601,3.99534044,0.00977134,0.23706241,1.85873305,1.96995253,0.06502186,0.52736729
-3.95897949,6.39578914,0.13942912,3.94628962,0.00956650,0.24064070,1.83813608,1.94311922,0.06719627,0.52674710
-3.95297649,6.32505601,0.14397148,3.88612993,0.00941986,0.24406305,1.81506834,1.91714776,0.06948064,0.52606037
-3.94697349,6.24713233,0.14881828,3.81629357,0.00933313,0.24738817,1.79024359,1.89277154,0.07188521,0.52550449
-3.94097049,6.16470862,0.15405254,3.73838978,0.00930870,0.25069801,1.76448583,1.87082967,0.07442060,0.52531462
-3.93496748,6.08074043,0.15977538,3.65415558,0.00934986,0.25409810,1.73871861,1.85224949,0.07709732,0.52576229
-3.92896448,5.99837558,0.16610577,3.56540453,0.00946084,0.25771711,1.71395166,1.83802516,0.07992530,0.52715298
-3.92296148,5.92087580,0.17317943,3.47397531,0.00964689,0.26170563,1.69126503,1.82919277,0.08291347,0.52982295
-3.91695848,5.85153524,0.18114711,3.38168208,0.00991427,0.26623406,1.67179059,1.82680223,0.08606939,0.53413504
-3.91095548,5.79359780,0.19017205,3.29026837,0.01027010,0.27148951,1.65669111,1.83188704,0.08939886,0.54047382
-3.90495248,5.75017595,0.20042674,3.20136586,0.01072225,0.27767178,1.64713700,1.84543250,0.09290572,0.54923999
-3.89894947,5.72417310,0.21208887,3.11645939,0.01127904,0.28498841,1.64428111,1.86834357,0.09659163,0.56084429
-3.89294647,5.71821179,0.22533688,3.03685893,0.01194897,0.29364886,1.64923185,1.90141344,0.10045597,0.57570100
-3.88694347,5.73456985,0.24034482,2.96367921,0.01274025,0.30385797,1.66302535,1.94529403,0.10449585,0.59422123
-3.88094047,5.77512644,0.25727710,2.89782726,0.01366045,0.31580894,1.68659723,2.00046966,0.10870618,0.61680624
-3.87493747,5.84131951,0.27628306,2.83999772,0.01471598,0.32967601,1.72075494,2.06723508,0.11307978,0.64384088
-3.86893447,5.93411626,0.29749167,2.79067572,0.01591157,0.34560711,1.76615150,2.14567888,0.11760770,0.67568738
-3.86293147,6.05399737,0.32100664,2.75014663,0.01724984,0.36371688,1.82326180,2.23567334,0.12227941,0.71267956
-3.85692846,6.20095564,0.34690211,2.71851182,0.01873078,0.38408026,1.89236235,2.33687139,0.12708322,0.75511760
-3.85092546,6.37450893,0.37521907,2.69570945,0.02035138,0.40672708,1.97351545,2.44871107,0.13200657,0.80326340
-3.84492246,6.57372694,0.40596287,2.68153888,0.02210525,0.43163787,2.06655880,2.57042769,0.13703645,0.85733646
-3.83891946,6.79727044,0.43910175,2.67568752,0.02398243,0.45874117,2.17110104,2.70107342,0.14215973,0.91751027
-3.83291646,7.04344133,0.47456656,2.67775852,0.02596920,0.48791252,2.28652379,2.83954366,0.14736345,0.98390900
-3.82691346,7.31024102,0.51225166,2.68729777,0.02804816,0.51897530,2.41199025,2.98460922,0.15263505,1.05660447
-3.82091046,7.59543437,0.55201694,2.70381899,0.03019833,0.55170332,2.54646034,3.13495296,0.15796252,1.13561293
-3.81490745,7.89661588,0.59369079,2.72682527,0.03239547,0.58582528,2.68871180,3.28920916,0.16333446,1.22089180
-3.80890445,8.21127471,0.63707386,2.75582621,0.03461250,0.62103078,2.83736649,3.44600379,0.16873989,1.31233584
-3.80290145,8.53685515,0.68194335,2.79034948,0.03682010,0.65697769,2.99092091,3.60399351,0.17416812,1.40977281
