energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
0.40520260,1.66064555,0.00127996,0.04811994,0.33945554,0.43008891,0.03204400,0.43793226,0.04981884,0.74495380
0.41120560,1.48188977,0.00108811,0.04326782,0.29971549,0.38250794,0.02833185,0.38897690,0.04288997,0.67127128
0.41720860,1.32140406,0.00092373,0.03885438,0.26383331,0.34060493,0.02521249,0.34472295,0.03669261,0.60504539
0.42321161,1.17949740,0.00078528,0.03489662,0.23183134,0.30439372,0.02266800,0.30522836,0.03119674,0.54656279
0.42921461,1.05621345,0.00067137,0.03140442,0.20368488,0.27383253,0.02067692,0.27047715,0.02636538,0.49598511
0.43521761,0.95135898,0.00058080,0.02838085,0.17933096,0.24883552,0.01921532,0.24038739,0.02215643,0.45335631
0.44122061,0.86453491,0.00051268,0.02582254,0.15867762,0.22928458,0.01825757,0.21481976,0.01852460,0.41861178
0.44722361,0.79516838,0.00046643,0.02372028,0.14161333,0.21504067,0.01777718,0.19358641,0.01542309,0.39158850
0.45322661,0.74254473,0.00044190,0.02205955,0.12801635,0.20595477,0.01774737,0.17645973,0.01280519,0.37203594
0.45922961,0.70583826,0.00043940,0.02082127,0.11776351,0.20187784,0.01814157,0.16318071,0.01062558,0.35962707
0.46523262,0.68414118,0.00045973,0.01998241,0.11073843,0.20266993,0.01893380,0.15346678,0.00884156,0.35396935
0.47123562,0.67649017,0.00050423,0.01951673,0.10683882,0.20820813,0.02009894,0.14701882,0.00741386,0.35461542
0.47723862,0.68189038,0.00057480,0.01939541,0.10598267,0.21839335,0.02161289,0.14352755,0.00630743,0.36107344
0.48324162,0.69933675,0.00067388,0.01958768,0.10811337,0.23315578,0.02345272,0.14267901,0.00549184,0.37281695
0.48924462,0.72783274,0.00080447,0.02006147,0.11320335,0.25245900,0.02559675,0.14415946,0.00494161,0.38929446
0.49524762,0.76640646,0.00097010,0.02078391,0.12125645,0.27630255,0.02802457,0.14765952,0.00463627,0.40993866
0.50125063,0.81412436,0.00117473,0.02172192,0.13230858,0.30472283,0.03071709,0.15287785,0.00456027,0.43417539
0.50725363,0.87010247,0.00142272,0.02284268,0.14642681,0.33779218,0.03365656,0.15952431,0.00470279,0.46143235
0.51325663,0.93351518,0.00171869,0.02411406,0.16370676,0.37561592,0.03682654,0.16732272,0.00505730,0.49114750
0.51925963,1.00360137,0.00206740,0.02550508,0.18426809,0.41832706,0.04021188,0.17601330,0.00562112,0.52277709
0.52526263,1.07966767,0.00247361,0.02698624,0.20824820,0.46607867,0.04379860,0.18535476,0.00639476,0.55580315
0.53126563,1.16108862,0.00294181,0.02852987,0.23579413,0.51903362,0.04757378,0.19512600,0.00738128,0.58974008
0.53726863,1.24730342,0.00347610,0.03011037,0.26705260,0.57735177,0.05152528,0.20512746,0.00858541,0.62414036
0.54327164,1.33780910,0.00407988,0.03170438,0.30215856,0.64117462,0.05564142,0.21518206,0.01001279,0.65859880
0.54927464,1.43214991,0.00475565,0.03329095,0.34122230,0.71060768,0.05991059,0.22513555,0.01166897,0.69275528
0.55527764,1.52990311,0.00550472,0.03485155,0.38431567,0.78570104,0.06432067,0.23485640,0.01355852,0.72629571
0.56128064,1.63066142,0.00632697,0.03637004,0.43145762,0.86642868,0.06885845,0.24423502,0.01568405,0.75895108
0.56728364,1.73401286,0.00722064,0.03783253,0.48259995,0.95266751,0.07350898,0.25318247,0.01804529,0.79049460
0.57328664,1.83951858,0.00818210,0.03922726,0.53761366,1.04417691,0.07825487,0.26162850,0.02063821,0.82073704
0.57928964,1.94669026,0.00920571,0.04054430,0.59627682,1.14058014,0.08307567,0.26951916,0.02345422,0.84952057
0.58529265,2.05496811,0.01028370,0.04177532,0.65826458,1.24134887,0.08794732,0.27681393,0.02647946,0.87671142
0.59129565,2.16370131,0.01140615,0.04291328,0.72314228,1.34579186,0.09284176,0.28348267,0.02969433,0.90219190
0.59729865,2.27213237,0.01256104,0.04395215,0.79036220,1.45304942,0.09772677,0.28950240,0.03307315,0.92585231
0.60330165,2.37938720,0.01373437,0.04488672,0.85926469,1.56209433,0.10256609,0.29485432,0.03658403,0.94758353
0.60930465,2.48447205,0.01491038,0.04571235,0.92908407,1.67174039,0.10731986,0.29952095,0.04018904,0.96727060
0.61530765,2.58627879,0.01607183,0.04642492,0.99895958,1.78065883,0.11194541,0.30348396,0.04384463,0.98478823
0.62131066,2.68359891,0.01720044,0.04702079,1.06795146,1.88740301,0.11639842,0.30672251,0.04750228,0.99999844
0.62731366,2.77514674,0.01827728,0.04749690,1.13506181,1.99044077,0.12063445,0.30921243,0.05110948,1.01275076
0.63331666,2.85959129,0.01928335,0.04785098,1.19925979,2.08819400,0.12461070,0.31092628,0.05461092,1.02288516
0.63931966,2.93559594,0.02020006,0.04808179,1.25951029,2.17908382,0.12828808,0.31183423,0.05794985,1.03023758
0.64532266,3.00186427,0.02100987,0.04818950,1.31480509,2.26158001,0.13163340,0.31190575,0.06106975,1.03464791
0.65132566,3.05719019,0.02169677,0.04817605,1.36419521,2.33425248,0.13462151,0.31111206,0.06391590,1.03596992
0.65732866,3.10050968,0.02224688,0.04804554,1.40682306,2.39582259,0.13723742,0.30942907,0.06643723,1.03408254
0.66333167,3.13095167,0.02264886,0.04780462,1.44195292,2.44521194,0.13947812,0.30684073,0.06858796,1.02890176
0.66933467,3.14788502,0.02289435,0.04746272,1.46899833,2.48158612,0.14135408,0.30334240,0.07032925,1.02039239
0.67533767,3.15095914,0.02297821,0.04703231,1.48754495,2.50439138,0.14289016,0.29894417,0.07163067,1.00857882
0.68134067,3.14013558,0.02289875,0.04652888,1.49736779,2.51338209,0.14412598,0.29367379,0.07247139,0.99355402
