energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-4.44522261,2.15378053,0.04916426,0.00000000,1.01350062,0.89454784,0.00386871,0.88825529
-4.43921961,2.11416416,0.04665899,0.00000000,1.00598575,0.87537746,0.00358397,0.87752905
-4.43321661,2.07275666,0.04420779,0.00000000,0.99578826,0.85590088,0.00341610,0.86543940
-4.42721361,2.02966499,0.04181053,0.00000000,0.98284145,0.83624658,0.00336166,0.85199797
-4.42121061,1.98513634,0.03947031,0.00000000,0.96717409,0.81658425,0.00341756,0.83728400
-4.41520760,1.93954471,0.03719309,0.00000000,0.94890486,0.79711876,0.00358099,0.82143887
-4.40920460,1.89337241,0.03498722,0.00000000,0.92823399,0.77808258,0.00384941,0.80465833
-4.40320160,1.84718756,0.03286296,0.00000000,0.90543253,0.75972685,0.00422041,0.78718282
-4.39719860,1.80161866,0.03083195,0.00000000,0.88082980,0.74231180,0.00469157,0.76928637
-4.39119560,1.75732761,0.02890671,0.00000000,0.85479982,0.72609662,0.00526022,0.75126464
-4.38519260,1.71498222,0.02710020,0.00000000,0.82774712,0.71132955,0.00592326,0.73342268
-4.37918959,1.67522959,0.02542541,0.00000000,0.80009265,0.69823837,0.00667691,0.71606282
-4.37318659,1.63867145,0.02389507,0.00000000,0.77226032,0.68702189,0.00751652,0.69947330
-4.36718359,1.60584234,0.02252143,0.00000000,0.74466457,0.67784268,0.00843631,0.68391801
-4.36118059,1.57719160,0.02131616,0.00000000,0.71769943,0.67082137,0.00942928,0.66962771
-4.35517759,1.55306971,0.02029038,0.00000000,0.69172928,0.66603282,0.01048703,0.65679303
-4.34917459,1.53371940,0.01945477,0.00000000,0.66708150,0.66350422,0.01159974,0.64555938
-4.34317159,1.51927169,0.01881978,0.00000000,0.64404116,0.66321520,0.01275618,0.63602395
-4.33716858,1.50974691,0.01839589,0.00000000,0.62284758,0.66510000,0.01394374,0.62823474
