energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-4.78139070,1.81822429,0.13095941,0.00612679,0.02947871,0.00790434,0.77145553,0.21783523,0.88048267
-4.77538769,1.81005757,0.13181430,0.00608590,0.02864912,0.00741515,0.76767375,0.21755552,0.87712271
-4.76938469,1.79804005,0.13217242,0.00601227,0.02785783,0.00693439,0.76237734,0.21717850,0.87187173
-4.76338169,1.78245097,0.13204956,0.00590699,0.02709829,0.00646847,0.75564590,0.21672492,0.86492838
-4.75737869,1.76371252,0.13147639,0.00577171,0.02636461,0.00602332,0.74762148,0.21623707,0.85655627
-4.75137569,1.74237664,0.13049737,0.00560857,0.02565165,0.00560439,0.73850456,0.21577700,0.84707592
-4.74537269,1.71910621,0.12916910,0.00542016,0.02495491,0.00521659,0.72854799,0.21542376,0.83685368
-4.73936968,1.69465134,0.12755818,0.00520945,0.02427055,0.00486426,0.71804893,0.21526978,0.82628823
-4.73336668,1.66982170,0.12573873,0.00497973,0.02359546,0.00455119,0.70733916,0.21541657,0.81579506
-4.72736368,1.64545579,0.12378946,0.00473455,0.02292718,0.00428068,0.69677396,0.21596988,0.80578970
-4.72136068,1.62238868,0.12179073,0.00447757,0.02226400,0.00405557,0.68672007,0.21703454,0.79667034
-4.71535768,1.60141931,0.11982142,0.00421256,0.02160496,0.00387838,0.67754298,0.21870909,0.78880062
-4.70935468,1.58327900,0.11795591,0.00394326,0.02094990,0.00375135,0.66959426,0.22108061,0.78249357
-4.70335168,1.56860234,0.11626126,0.00367335,0.02029949,0.00367658,0.66319917,0.22421980,0.77799725
-4.69734867,1.55790196,0.11479468,0.00340632,0.01965521,0.00365616,0.65864522,0.22817666,0.77548297
-4.69134567,1.55154824,0.11360142,0.00314549,0.01901941,0.00369224,0.65617213,0.23297689,0.77503665
-4.68534267,1.54975488,0.11271319,0.00289390,0.01839522,0.00378716,0.65596355,0.23861928,0.77665372
-4.67933967,1.55257113,0.11214710,0.00265430,0.01778655,0.00394352,0.65814091,0.24507412,0.78023797
-4.67333667,1.55988088,0.11190522,0.00242912,0.01719799,0.00416426,0.66275978,0.25228287,0.78560436
-4.66733367,1.57140884,0.11197475,0.00222043,0.01663472,0.00445269,0.66980880,0.26015901,0.79248571
-4.66133067,1.58673328,0.11232883,0.00202999,0.01610237,0.00481246,0.67921123,0.26859010,0.80054300
-4.65532766,1.60530495,0.11292783,0.00185917,0.01560688,0.00524755,0.69082909,0.27744105,0.80937888
-4.64932466,1.62647104,0.11372121,0.00170902,0.01515433,0.00576218,0.70446962,0.28655835,0.81855360
-4.64332166,1.64950304,0.11464971,0.00158028,0.01475075,0.00636065,0.71989375,0.29577514,0.82760278
-4.63731866,1.67362725,0.11564789,0.00147334,0.01440193,0.00704717,0.73682621,0.30491691,0.83605609
-4.63131566,1.69805625,0.11664680,0.00138834,0.01411323,0.00782561,0.75496661,0.31380753,0.84345598
-4.62531266,1.72202002,0.11757673,0.00132511,0.01388936,0.00869928,0.77400109,0.32227533,0.84937570
-4.61930965,1.74479505,0.11836987,0.00128323,0.01373421,0.00967054,0.79361392,0.33015897,0.85343563
-4.61330665,1.76573033,0.11896282,0.00126205,0.01365070,0.01074053,0.81349845,0.33731281,0.85531744
-4.60730365,1.78426894,0.11929873,0.00126065,0.01364055,0.01190880,0.83336693,0.34361148,0.85477524
-4.60130065,1.79996455,0.11932911,0.00127794,0.01370420,0.01317297,0.85295891,0.34895356,0.85164360
-4.59529765,1.81249217,0.11901524,0.00131258,0.01384069,0.01452844,0.87204763,0.35326411,0.84584203
