energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-3.88094047,4.26431701,1.03960826,0.58262333,0.17990491,0.67406216,1.58753418,0.00000000
-3.87493747,4.13994523,0.99567167,0.56243878,0.18114785,0.65335931,1.54843895,0.00000000
-3.86893447,4.01774472,0.95333159,0.54284075,0.18221935,0.63371823,1.50923550,0.00000000
-3.86293147,3.89960876,0.91302539,0.52409529,0.18315073,0.61532580,1.47062706,0.00000000
-3.85692846,3.78718545,0.87510087,0.50642766,0.18397007,0.59832032,1.43323113,0.00000000
-3.85092546,3.68187509,0.83981877,0.49002316,0.18470211,0.58279534,1.39757733,0.00000000
-3.84492246,3.58484220,0.80735948,0.47503015,0.18536862,0.56880571,1.36411074,0.00000000
-3.83891946,3.49703952,0.77783311,0.46156483,0.18598895,0.55637554,1.33320013,0.00000000
-3.83291646,3.41924095,0.75129212,0.44971718,0.18658079,0.54550720,1.30514988,0.00000000
-3.82691346,3.35207956,0.72774523,0.43955763,0.18716110,0.53619073,1.28021406,0.00000000
-3.82091046,3.29608687,0.70717167,0.43114367,0.18774690,0.52841296,1.25861136,0.00000000
-3.81490745,3.25172912,0.68953467,0.42452593,0.18835591,0.52216555,1.24053920,0.00000000
-3.80890445,3.21943720,0.67479309,0.41975321,0.18900695,0.51745135,1.22618573,0.00000000
-3.80290145,3.19962705,0.66291057,0.41687584,0.18971994,0.51428861,1.21573837,0.00000000
-3.79689845,3.19270831,0.65386147,0.41594726,0.19051558,0.51271267,1.20938816,0.00000000
-3.79089545,3.19908016,0.64763341,0.41702345,0.19141450,0.51277496,1.20732927,0.00000000
-3.78489245,3.21911404,0.64422614,0.42016040,0.19243616,0.51453941,1.20975353,0.00000000
-3.77888944,3.25312447,0.64364725,0.42540953,0.19359733,0.51807641,1.21684043,0.00000000
-3.77288644,3.30132979,0.64590483,0.43281155,0.19491045,0.52345480,1.22874314,0.00000000
-3.76688344,3.36380593,0.65099813,0.44238909,0.19638192,0.53073244,1.24557162,0.00000000
-3.76088044,3.44043692,0.65890680,0.45413873,0.19801039,0.53994602,1.26737430,0.00000000
-3.75487744,3.53086608,0.66957979,0.46802293,0.19978544,0.55110088,1.29411966,0.00000000
-3.74887444,3.63445249,0.68292493,0.48396263,0.20168654,0.56416162,1.32567946,0.00000000
-3.74287144,3.75023669,0.69880012,0.50183111,0.20368254,0.57904431,1.36181514,0.00000000
-3.73686843,3.87691962,0.71700713,0.52144964,0.20573188,0.59561087,1.40216884,0.00000000
-3.73086543,4.01285769,0.73728861,0.54258564,0.20778334,0.61366629,1.44626019,0.00000000
-3.72486243,4.15607630,0.75932898,0.56495339,0.20977759,0.63295901,1.49348971,0.00000000
-3.71885943,4.30430274,0.78275940,0.58821777,0.21164939,0.65318475,1.54314927,0.00000000
-3.71285643,4.45501846,0.80716687,0.61200104,0.21333029,0.67399368,1.59443956,0.00000000
-3.70685343,4.60552912,0.83210730,0.63589232,0.21475190,0.69500077,1.64649412,0.00000000
-3.70085043,4.75304996,0.85712181,0.65945970,0.21584937,0.71579895,1.69840885,0.00000000
