energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-0.98749375,2.98845017,0.39399159,0.00000000,2.52402336,0.94847217,2.27779207,0.00000000
-0.98149075,2.93197141,0.38459535,0.00000000,2.45972138,0.94293947,2.21975627,0.00000000
-0.97548774,2.86346341,0.37366906,0.00000000,2.38360952,0.93523222,2.15057581,0.00000000
-0.96948474,2.78486880,0.36148320,0.00000000,2.29721707,0.92601322,2.07165309,0.00000000
-0.96348174,2.69847593,0.34835992,0.00000000,2.20236723,0.91606240,1.98463828,0.00000000
-0.95747874,2.60684615,0.33466372,0.00000000,2.10111699,0.90625339,1.89137306,0.00000000
-0.95147574,2.51273298,0.32079109,0.00000000,1.99569145,0.89752641,1.79382994,0.00000000
-0.94547274,2.41899649,0.30715955,0.00000000,1.88841561,0.89085805,1.69404959,0.00000000
-0.93946973,2.32851590,0.29419646,0.00000000,1.78164613,0.88722910,1.59407891,0.00000000
-0.93346673,2.24410349,0.28232791,0.00000000,1.67770564,0.88759142,1.49591192,0.00000000
-0.92746373,2.16842263,0.27196809,0.00000000,1.57882175,0.89283492,1.40143566,0.00000000
-0.92146073,2.10391228,0.26350922,0.00000000,1.48707227,0.90375575,1.31238257,0.00000000
-0.91545773,2.05272024,0.25731236,0.00000000,1.40433812,0.92102670,1.23029065,0.00000000
-0.90945473,2.01664644,0.25369916,0.00000000,1.33226438,0.94517089,1.15647198,0.00000000
