energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-3.91095548,1.24000124,-11.07937098,0.34978718,-4.96270975,0.49849209,-3.79461976,0.00662692,-0.01142440,0.08718257,-4.83838189,0.02385611,-0.04214770,0.55995785,-2.04118669
-3.90495248,1.35881682,-10.91627654,0.37095132,-4.90904239,0.54913141,-3.73774805,0.00745953,-0.01083157,0.09972017,-4.74945632,0.02610356,-0.04071624,0.60906005,-2.03267975
-3.89894947,1.49782105,-10.74417350,0.39871285,-4.85747411,0.60805409,-3.67318674,0.00838019,-0.01028578,0.11403401,-4.64772739,0.02868775,-0.03943277,0.66670689,-2.03218503
-3.89294647,1.65697957,-10.56265958,0.43311246,-4.80623919,0.67528524,-3.60120767,0.00938615,-0.00978528,0.13019347,-4.53349937,0.03160576,-0.03828990,0.73278039,-2.03904399
-3.88694347,1.83600100,-10.37123830,0.47412062,-4.75361934,0.75075083,-3.52210735,0.01047281,-0.00932713,0.14824567,-4.40721561,0.03484966,-0.03727550,0.80704697,-2.05238727
-3.88094047,2.03431243,-10.16936605,0.52163083,-4.69798909,0.83426690,-3.43621173,0.01163358,-0.00890746,0.16821126,-4.26946350,0.03840627,-0.03637365,0.88914904,-2.07116254
-3.87493747,2.25103824,-9.95650243,0.57545325,-4.63785745,0.92553007,-3.34388169,0.01285979,-0.00852185,0.19008062,-4.12097729,0.04225692,-0.03556558,0.97859848,-2.09416649
-3.86893447,2.48498401,-9.73216092,0.63530939,-4.57190436,1.02410987,-3.24551848,0.01414065,-0.00816554,0.21381029,-3.96263792,0.04637743,-0.03483074,1.07477243,-2.12008000
-3.86293147,2.73462714,-9.49595734,0.70082841,-4.49901124,1.12944364,-3.14156851,0.01546329,-0.00783377,0.23932019,-3.79546903,0.05073816,-0.03414774,1.17691217,-2.14750560
-3.85692846,2.99811562,-9.24765367,0.77154544,-4.41828462,1.24083459,-3.03252677,0.01681286,-0.00752201,0.26649150,-3.62062863,0.05530413,-0.03349532,1.28412556,-2.17500617
-3.85092546,3.27327655,-8.98719521,0.84690258,-4.32907245,1.35745369,-2.91893842,0.01817267,-0.00722615,0.29516573,-3.43939605,0.06003543,-0.03285317,1.39539353,-2.20114393
-3.84492246,3.55763533,-8.71473936,0.92625293,-4.23097289,1.47834584,-2.80139815,0.01952453,-0.00694268,0.32514495,-3.25315400,0.06488763,-0.03220267,1.50958122,-2.22451879
-3.83891946,3.84844638,-8.43067534,1.00886817,-4.12383555,1.60244056,-2.68054715,0.02084899,-0.00666881,0.35619334,-3.06336607,0.06981254,-0.03152745,1.62545361,-2.24380524
-3.83291646,4.14273566,-8.13563414,1.09394973,-4.00775569,1.72856751,-2.55706766,0.02212580,-0.00640251,0.38804026,-2.87155026,0.07475894,-0.03081389,1.74169602,-2.25778682
-3.82691346,4.43735455,-7.83048904,1.18064359,-3.88306198,1.85547672,-2.43167530,0.02333435,-0.00614260,0.42038479,-2.67924931,0.07967362,-0.03005141,1.85693899,-2.26538748
