energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
2.56628314,1.87399721,0.18757433,0.00000000,0.81001249,0.54402306,0.75838510,0.00000000
2.57228614,1.89270395,0.19088685,0.00000000,0.81668030,0.54517380,0.77949011,0.00000000
2.57828914,1.90946497,0.19444025,0.00000000,0.82259751,0.54537902,0.80345911,0.00000000
2.58429215,1.92390516,0.19821663,0.00000000,0.82763470,0.54456973,0.82988581,0.00000000
2.59029515,1.93559285,0.20218369,0.00000000,0.83164244,0.54267027,0.85826299,0.00000000
2.59629815,1.94405232,0.20629414,0.00000000,0.83445562,0.53960165,0.88799190,0.00000000
2.60230115,1.94878037,0.21048609,0.00000000,0.83589964,0.53528562,0.91839534,0.00000000
2.60830415,1.94926599,0.21468437,0.00000000,0.83579803,0.52964931,0.94873403,0.00000000
2.61430715,1.94501243,0.21880283,0.00000000,0.83398125,0.52263025,0.97822603,0.00000000
2.62031016,1.93556039,0.22274744,0.00000000,0.83029608,0.51418138,1.00606846,0.00000000
2.62631316,1.92051129,0.22642015,0.00000000,0.82461512,0.50427576,1.03146101,0.00000000
2.63231616,1.89954933,0.22972331,0.00000000,0.81684575,0.49291071,1.05363021,0.00000000
2.63831916,1.87246115,0.23256432,0.00000000,0.80693820,0.48011104,1.07185371,0.00000000
2.64432216,1.83915212,0.23486045,0.00000000,0.79489188,0.46593130,1.08548350,0.00000000
2.65032516,1.79965831,0.23654347,0.00000000,0.78075991,0.45045669,1.09396714,0.00000000
2.65632816,1.75415359,0.23756387,0.00000000,0.76465133,0.43380273,1.09686617,0.00000000
2.66233117,1.70295132,0.23789451,0.00000000,0.74673074,0.41611362,1.09387087,0.00000000
2.66833417,1.64650072,0.23753339,0.00000000,0.72721555,0.39755925,1.08481065,0.00000000
2.67433717,1.58537797,0.23650551,0.00000000,0.70637068,0.37833124,1.06965974,0.00000000
2.68034017,1.52027247,0.23486370,0.00000000,0.68450108,0.35863795,1.04853793,0.00000000
2.68634317,1.45196902,0.23268826,0.00000000,0.66194237,0.33869889,1.02170626,0.00000000
2.69234617,1.38132665,0.23008558,0.00000000,0.63905006,0.31873863,0.98955793,0.00000000
2.69834917,1.30925514,0.22718570,0.00000000,0.61618783,0.29898071,0.95260493,0.00000000
2.70435218,1.23669027,0.22413887,0.00000000,0.59371548,0.27964161,0.91146094,0.00000000
2.71035518,1.16456878,0.22111144,0.00000000,0.57197716,0.26092512,0.86682130,0.00000000
2.71635818,1.09380416,0.21828097,0.00000000,0.55129038,0.24301740,0.81944097,0.00000000
