energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-5.60980490,7.95507641,0.52126927,0.00874946,0.04816305,4.57151695,2.42958563,1.72552561
-5.60380190,8.05201881,0.52422116,0.00888835,0.04833387,4.64196887,2.45297047,1.73059414
-5.59779890,8.11729113,0.52443817,0.00897959,0.04837021,4.69648798,2.46701598,1.73180204
-5.59179590,8.15010074,0.52190576,0.00902180,0.04826070,4.73443095,2.47174079,1.72930818
-5.58579290,8.15024850,0.51665714,0.00901444,0.04799649,4.75547093,2.46734364,1.72335257
-5.57978989,8.11817210,0.50877325,0.00895787,0.04757187,4.75963471,2.45421030,1.71426415
-5.57378689,8.05497286,0.49838143,0.00885337,0.04698469,4.74733081,2.43291620,1.70246638
-5.56778389,7.96242378,0.48565274,0.00870306,0.04623667,4.71936670,2.40422401,1.68848030
-5.56178089,7.84295732,0.47079808,0.00850990,0.04533355,4.67695354,2.36907603,1.67292410
-5.55577789,7.69963220,0.45406314,0.00827759,0.04428508,4.62169732,2.32858103,1.65650908
-5.54977489,7.53607909,0.43572249,0.00801052,0.04310486,4.55557580,2.28399546,1.64003131
