energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-5.15357679,10.89794080,0.02162541,0.86459192,1.35475502,0.99146932,3.01688378,3.92231194,0.03876142,3.90481708
-5.14757379,11.05643119,0.02199885,0.84244508,1.36564871,1.04411704,3.04682411,3.92404202,0.04144878,4.01516389
-5.14157079,11.22159104,0.02240022,0.82128464,1.37696419,1.09762441,3.07592468,3.92952003,0.04426013,4.12657753
-5.13556778,11.39229118,0.02283734,0.80117138,1.38851079,1.15177834,3.10351487,3.93871299,0.04718353,4.23841098
-5.12956478,11.56726381,0.02331754,0.78215762,1.40007490,1.20637038,3.12891176,3.95147956,0.05020621,4.35000695
-5.12356178,11.74513419,0.02384751,0.76428491,1.41143144,1.26119845,3.15143975,3.96757396,0.05331475,4.46071578
-5.11755878,11.92445458,0.02443309,0.74758238,1.42235609,1.31606722,3.17045152,3.98665312,0.05649523,4.56991202
-5.11155578,12.10373887,0.02507913,0.73206596,1.43263762,1.37078732,3.18534948,4.00828698,0.05973326,4.67700885
-5.10555278,12.28149593,0.02578934,0.71773836,1.44208952,1.42517319,3.19560658,4.03197150,0.06301404,4.78146928
-5.09954977,12.45626036,0.02656613,0.70458980,1.45056039,1.47903985,3.20078545,4.05714394,0.06632229,4.88281380
-5.09354677,12.62661928,0.02741053,0.69259942,1.45794243,1.53219866,3.20055484,4.08319998,0.06964213,4.98062385
-5.08754377,12.79123448,0.02832204,0.68173715,1.46417757,1.58445261,3.19470261,4.10951214,0.07295697,5.07454131
-5.08154077,12.94885944,0.02929861,0.67196590,1.46926084,1.63559137,3.18314459,4.13544883,0.07624929,5.16426411
-5.07553777,13.09835143,0.03033663,0.66324392,1.47324086,1.68538669,3.16592879,4.16039374,0.07950047,5.24953868
-5.06953477,13.23867915,0.03143086,0.65552700,1.47621736,1.73358864,3.14323479,4.18376470,0.08269065,5.33015007
-5.06353177,13.36892658,0.03257460,0.64877052,1.47833597,1.77992314,3.11536839,4.20503165,0.08579859,5.40591066
-5.05752876,13.48829400,0.03375973,0.64293098,1.47978048,1.82409115,3.08275158,4.22373304,0.08880164,5.47664853
-5.05152576,13.59609717,0.03497693,0.63796703,1.48076300,1.86577002,3.04590842,4.23949017,0.09167580,5.54219681
-5.04552276,13.69176539,0.03621585,0.63383981,1.48151267,1.90461700,3.00544731,4.25201885,0.09439585,5.60238451
-5.03951976,13.77483905,0.03746540,0.63051272,1.48226336,1.94027505,2.96204048,4.26113783,0.09693564,5.65703006
-5.03351676,13.84496694,0.03871403,0.62795039,1.48324102,1.97238083,2.91640134,4.26677357,0.09926849,5.70593769
-5.02751376,13.90190322,0.03995003,0.62611722,1.48465130,2.00057442,2.86926074,4.26896073,0.10136770,5.74889696
-5.02151076,13.94550365,0.04116183,0.62497526,1.48666799,2.02451057,2.82134283,4.26783832,0.10320712,5.78568533
-5.01550775,13.97572042,0.04233835,0.62448196,1.48942277,2.04387066,2.77334153,4.26364107,0.10476183,5.81607321
-5.00950475,13.99259471,0.04346921,0.62458758,1.49299661,2.05837478,2.72589831,4.25668607,0.10600884,5.83983095
-5.00350175,13.99624626,0.04454498,0.62523279,1.49741324,2.06779323,2.67958208,4.24735506,0.10692781,5.85673685
-4.99749875,13.98685927,0.04555733,0.62634645,1.50263481,2.07195681,2.63487187,4.23607259,0.10750170,5.86658528
-4.99149575,13.96466432,0.04649914,0.62784390,1.50855990,2.07076502,2.59214279,4.22328100,0.10771739,5.86919408
-4.98549275,13.92991635,0.04736449,0.62962581,1.51502387,2.06419198,2.55165587,4.20941312,0.10756618,5.86441049
-4.97948974,13.88286949,0.04814866,0.63157791,1.52180152,2.05228940,2.51355200,4.19486396,0.10704414,5.85211497
-4.97348674,13.82374979,0.04884795,0.63357156,1.52861194,2.03518662,2.47785028,4.17996292,0.10615237,5.83222281
-4.96748374,13.75272773,0.04945952,0.63546526,1.53512537,2.01308754,2.44445086,4.16494791,0.10489705,5.80468330
-4.96148074,13.66989245,0.04998122,0.63710716,1.54097189,1.98626484,2.41314213,4.14994322,0.10328933,5.76947706
-4.95547774,13.57523027,0.05041128,0.63833847,1.54575155,1.95505163,2.38361213,4.13494246,0.10134511,5.72661181
-4.94947474,13.46860983,0.05074813,0.63899766,1.54904596,1.91983122,2.35546390,4.11979814,0.09908465,5.67611753
-4.94347174,13.34977616,0.05099014,0.63892532,1.55043058,1.88102548,2.32823396,4.10421883,0.09653205,5.61804182
-4.93746873,13.21835550,0.05113551,0.63796944,1.54948786,1.83908260,2.30141362,4.08777465,0.09371465,5.55244635
-4.93146573,13.07387200,0.05118208,0.63599094,1.54582047,1.79446481,2.27447207,4.06991137,0.09066243,5.47940513
-4.92546273,12.91577677,0.05112734,0.63286914,1.53906448,1.74763668,2.24688045,4.04997290,0.08740725,5.39900540
-4.91945973,12.74348864,0.05096844,0.62850695,1.52890194,1.69905463,2.21813590,4.02723118,0.08398223,5.31135123
-4.91345673,12.55644504,0.05070228,0.62283539,1.51507255,1.64915796,2.18778462,4.00092252,0.08042105,5.21657014
-4.90745373,12.35416058,0.05032574,0.61581748,1.49738397,1.59836179,2.15544287,3.97028831,0.07675735,5.11482229
-4.90145073,12.13628998,0.04983584,0.60745094,1.47572029,1.54705184,2.12081504,3.93461823,0.07302415,5.00631161
