energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.01550775,6.06426652,0.01239568,1.21289784,0.11949613,1.68705988,2.32185874,0.14673706,2.15069348
-5.00950475,6.30245772,0.01317925,1.27013571,0.12059314,1.70483234,2.41581229,0.15333018,2.23735483
-5.00350175,6.55198944,0.01397891,1.32857557,0.12173674,1.72938428,2.51129766,0.15985539,2.33179401
-4.99749875,6.80805757,0.01478219,1.38720982,0.12291040,1.75932928,2.60677435,0.16620510,2.43192059
-4.99149575,7.06555519,0.01557556,1.44497086,0.12410356,1.79317813,2.70064789,0.17226765,2.53546090
-4.98549275,7.31918353,0.01634466,1.50075414,0.12531049,1.82937691,2.79130036,0.17792969,2.64001136
-4.97948974,7.56357369,0.01707471,1.55344380,0.12652898,1.86634660,2.87712344,0.18307871,2.74309751
-4.97348674,7.79341605,0.01775090,1.60194033,0.12775876,1.90252360,2.95655346,0.18760588,2.84223737
-4.96748374,8.00359422,0.01835879,1.64518943,0.12899995,1.93639993,3.02810760,0.19140887,2.93500715
-4.96148074,8.18931955,0.01888474,1.68221123,0.13025149,1.96656243,3.09042039,0.19439474,3.01910741
-4.95547774,8.34626162,0.01931635,1.71212868,0.13150973,1.99172968,3.14227919,0.19648269,3.09242723
-4.94947474,8.47067019,0.01964288,1.73419423,0.13276724,2.01078580,3.18265749,0.19760666,3.15310429
-4.94347174,8.55948366,0.01985556,1.74781347,0.13401197,2.02280999,3.21074453,0.19771752,3.19957832
-4.93746873,8.61041950,0.01994793,1.75256480,0.13522667,2.02710093,3.22597002,0.19678491,3.23063590
-4.93146573,8.62204258,0.01991603,1.74821423,0.13638883,2.02319532,3.22802251,0.19479849,3.24544465
-4.92546273,8.59380798,0.01975861,1.73472442,0.13747093,2.01087976,3.21686056,0.19176861,3.24357539
-4.91945973,8.52607614,0.01947712,1.71225754,0.13844104,1.99019564,3.19271576,0.18772630,3.22501125
-4.91345673,8.42009901,0.01907571,1.68117172,0.13926382,1.96143700,3.15608723,0.18272264,3.19014329
-4.90745373,8.27797759,0.01856108,1.64201110,0.13990178,1.92514121,3.10772758,0.17682735,3.13975286
-4.90145073,8.10259239,0.01794232,1.59548986,0.14031668,1.88207312,3.04862067,0.17012686,3.07498150
-4.89544772,7.89750953,0.01723056,1.54247099,0.14047110,1.83320314,2.97995202,0.16272179,2.99728977
-4.88944472,7.66686671,0.01643867,1.48394045,0.14033006,1.77968015,2.90307308,0.15472398,2.90840678
-4.88344172,7.41524373,0.01558084,1.42097813,0.13986252,1.72280033,2.81946075,0.14625319,2.81027283
-4.87743872,7.14752328,0.01467221,1.35472663,0.13904288,1.66397290,2.73067400,0.13743369,2.70497753
-4.87143572,6.86874768,0.01372841,1.28635918,0.13785217,1.60468407,2.63830929,0.12839069,2.59469599
-4.86543272,6.58397750,0.01276518,1.21704809,0.13627917,1.54646023,2.54395684,0.11924705,2.48162575
-4.85942971,6.29815723,0.01179798,1.14793469,0.13432115,1.49083137,2.44915919,0.11012006,2.36792672
-4.85342671,6.01599303,0.01084167,1.08010203,0.13198440,1.43929578,2.35537388,0.10111873,2.25566614
-4.84742371,5.74184605,0.00991019,1.01455098,0.12928450,1.39328652,2.26394133,0.09234145,2.14677032
-4.84142071,5.47964425,0.00901642,0.95218038,0.12624632,1.35414033,2.17605878,0.08387417,2.04298429
-4.83541771,5.23281431,0.00817193,0.89377162,0.12290371,1.32306920,2.09276096,0.07578924,1.94583995
-4.82941471,5.00423397,0.00738696,0.83997772,0.11929904,1.30113483,2.01490747,0.06814466,1.85663306
-4.82341171,4.79620430,0.00667037,0.79131675,0.11548252,1.28922590,1.94317674,0.06098398,1.77640875
-4.81740870,4.61044039,0.00602964,0.74816937,0.11151126,1.28803836,1.87806591,0.05433670,1.70595496
-4.81140570,4.44807827,0.00547095,0.71078003,0.10744829,1.29805829,1.81989600,0.04821904,1.64580293
-4.80540270,4.30969543,0.00499926,0.67926120,0.10336129,1.31954783,1.76882127,0.04263513,1.59623360
-4.79939970,4.19534215,0.00461843,0.65360016,0.09932134,1.35253381,1.72484184,0.03757840,1.55728888
-4.79339670,4.10458072,0.00433129,0.63366778,0.09540144,1.39679959,1.68781854,0.03303324,1.52878669
-4.78739370,4.03653017,0.00413982,0.61922872,0.09167499,1.45188037,1.65748894,0.02897666,1.51033849
-4.78139070,3.98991410,0.00404513,0.60995259,0.08821416,1.51706244,1.63348393,0.02538000,1.50136885
-4.77538769,3.96311021,0.00404761,0.60542578,0.08508820,1.59138697,1.61534411,0.02221061,1.50113605
-4.76938469,3.95420002,0.00414690,0.60516373,0.08236172,1.67365897,1.60253563,0.01943330,1.50875341
-4.76338169,3.96101864,0.00434190,0.60862339,0.08009288,1.76246207,1.59446527,0.01701176,1.52321118
-4.75737869,3.98120396,0.00463073,0.61521584,0.07833174,1.85617957,1.59049477,0.01490971,1.54339873
-4.75137569,4.01224587,0.00501065,0.62431910,0.07711851,1.95302214,1.58995453,0.01309184,1.56812733
-4.74537269,4.05153568,0.00547800,0.63529105,0.07648208,2.05106221,1.59215697,0.01152456,1.59615339
-4.73936968,4.09641638,0.00602807,0.64748251,0.07643858,2.14827484,1.59640983,0.01017655,1.62620247
-4.73336668,4.14423401,0.00665503,0.66025048,0.07699031,2.24258426,1.60202975,0.00901909,1.65699403
-4.72736368,4.19239054,0.00735181,0.67297131,0.07812492,2.33191533,1.60835630,0.00802627,1.68726683
-4.72136068,4.23839784,0.00811009,0.68505393,0.07981495,2.41424817,1.61476669,0.00717499,1.71580495
-4.71535768,4.27993246,0.00892025,0.69595259,0.08201783,2.48767439,1.62069110,0.00644495,1.74146381
-4.70935468,4.31489011,0.00977144,0.70517909,0.08467634,2.55045289,1.62562842,0.00581843,1.76319593
-4.70335168,4.34143856,0.01065165,0.71231402,0.08771957,2.60106282,1.62916207,0.00528013,1.78007558
-4.69734867,4.35806715,0.01154789,0.71701665,0.09106437,2.63825162,1.63097544,0.00481693,1.79132159
-4.69134567,4.36363110,0.01244643,0.71903304,0.09461736,2.66107595,1.63086610,0.00441757,1.79631748
-4.68534267,4.35738846,0.01333309,0.71820202,0.09827728,2.66893335,1.62875818,0.00407249,1.79462802
-4.67933967,4.33902756,0.01419363,0.71445875,0.10193787,2.66158328,1.62471204,0.00377352,1.78601141
-4.67333667,4.30868328,0.01501415,0.70783540,0.10549095,2.63915616,1.61893032,0.00351370,1.77042646
-4.66733367,4.26694040,0.01578154,0.69845904,0.10882977,2.60214981,1.61175961,0.00328712,1.74803412
-4.66133067,4.21482289,0.01648396,0.68654648,0.11185240,2.55141335,1.60368723,0.00308874,1.71919313
-4.65532766,4.15376867,0.01711129,0.67239620,0.11446503,2.48811893,1.59533236,0.00291432,1.68444976
-4.64932466,4.08558972,0.01765557,0.65637763,0.11658521,2.41372250,1.58743150,0.00276031,1.64452164
-4.64332166,4.01241828,0.01811142,0.63891804,0.11814454,2.32991524,1.58081806,0.00262379,1.60027636
-4.63731866,3.93664046,0.01847632,0.62048752,0.11909112,2.23856760,1.57639654,0.00250249,1.55270529
-4.63131566,3.86081920,0.01875083,0.60158257,0.11939128,2.14166842,1.57511167,0.00239475,1.50289367
-4.62531266,3.78760895,0.01893876,0.58270892,0.11903072,2.04126159,1.57791354,0.00229951,1.45198788
-4.61930965,3.71966526,0.01904712,0.56436424,0.11801494,1.93938286,1.58571977,0.00221638,1.40116115
-4.61330665,3.65955223,0.01908597,0.54702141,0.11636891,1.83799922,1.59937602,0.00214560,1.35157880
-4.60730365,3.60965147,0.01906823,0.53111292,0.11413610,1.73895330,1.61961659,0.00208812,1.30436437
-4.60130065,3.57207601,0.01900919,0.51701705,0.11137668,1.64391460,1.64702650,0.00204558,1.26056771
-4.59529765,3.54859243,0.01892610,0.50504640,0.10816532,1.55433929,1.68200696,0.00202038,1.22113606
-4.58929465,3.54055453,0.01883748,0.49543903,0.10458830,1.47143967,1.72474580,0.00201568,1.18688916
-4.58329165,3.54885102,0.01876248,0.48835271,0.10074036,1.39616403,1.77519435,0.00203540,1.15849911
-4.57728864,3.57386952,0.01872013,0.48386225,0.09672127,1.32918710,1.83305225,0.00208428,1.13647546
-4.57128564,3.61547852,0.01872856,0.48196019,0.09263232,1.27091092,1.89776103,0.00216785,1.12115602
-4.56528264,3.67302801,0.01880425,0.48256056,0.08857282,1.22147551,1.96850727,0.00229242,1.11270344
-4.55927964,3.74536890,0.01896128,0.48550563,0.08463685,1.18077833,2.04423557,0.00246510,1.11110755
-4.55327664,3.83089073,0.01921072,0.49057525,0.08091026,1.14850128,2.12367124,0.00269372,1.11619314
-4.54727364,3.92757602,0.01956002,0.49749838,0.07746809,1.12414381,2.20535192,0.00298680,1.12763282
-4.54127064,4.03306931,0.02001257,0.50596632,0.07437258,1.10706051,2.28766731,0.00335346,1.14496425
-4.53526763,4.14475811,0.02056745,0.51564694,0.07167155,1.09650143,2.36890538,0.00380331,1.16761104
-4.52926463,4.25986245,0.02121926,0.52619941,0.06939760,1.09165360,2.44730343,0.00434631,1.19490647
-4.52326163,4.37552948,0.02195815,0.53728879,0.06756765,1.09168197,2.52110181,0.00499256,1.22611906
