energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-2.84242121,8.34664517,0.02462481,0.49478283,0.05311460,2.53486982,5.65777457,0.07429244,1.91873631
-2.83641821,8.19600890,0.02326042,0.47472186,0.05117137,2.40011253,5.59580283,0.07289599,1.86695096
-2.83041521,8.04579996,0.02197165,0.45444147,0.04912446,2.26334181,5.53627412,0.07140428,1.81387556
-2.82441221,7.89933045,0.02075949,0.43429649,0.04700170,2.12659325,5.48127017,0.06984348,1.76020730
-2.81840920,7.75948222,0.01962644,0.41460815,0.04482919,1.99176225,5.43259490,0.06823544,1.70654605
-2.81240620,7.62864248,0.01857617,0.39565701,0.04263075,1.86056264,5.39173306,0.06659716,1.65338115
-2.80640320,7.50866455,0.01761328,0.37767787,0.04042758,1.73449474,5.35982409,0.06494066,1.60108480
-2.80040020,7.40085359,0.01674291,0.36085667,0.03823799,1.61482340,5.33765117,0.06327301,1.54991171
-2.79439720,7.30597559,0.01597051,0.34532924,0.03607742,1.50256596,5.32564438,0.06159673,1.50000485
-2.78839420,7.22428682,0.01530150,0.33118197,0.03395850,1.39848970,5.32389617,0.05991037,1.45140630
-2.78239120,7.15558038,0.01474108,0.31845398,0.03189129,1.30311791,5.33218708,0.05820923,1.40407241
-2.77638819,7.09924551,0.01429395,0.30714072,0.02988361,1.21674345,5.35001920,0.05648626,1.35789202
-2.77038519,7.05433566,0.01396416,0.29719865,0.02794141,1.13944840,5.37665496,0.05473304,1.31270644
-2.76438219,7.01964087,0.01375492,0.28855074,0.02606927,1.07112841,5.41115868,0.05294074,1.26833010
-2.75837919,6.99376075,0.01366840,0.28109253,0.02427081,1.01152011,5.45243896,0.05110106,1.22457048
-2.75237619,6.97517469,0.01370564,0.27469841,0.02254919,0.96023036,5.49928993,0.04920708,1.18124648
-2.74637319,6.96230669,0.01386636,0.26922800,0.02090753,0.91676581,5.55043021,0.04725400,1.13820422
-2.74037019,6.95358279,0.01414881,0.26453235,0.01934928,0.88056171,5.60453840,0.04523969,1.09532961
-2.73436718,6.94747997,0.01454967,0.26045978,0.01787867,0.85100896,5.66028492,0.04316508,1.05255751
-2.72836418,6.94256601,0.01506385,0.25686125,0.01650091,0.82747863,5.71635979,0.04103436,1.00987697
-2.72236118,6.93753029,0.01568440,0.25359509,0.01522256,0.80934341,5.77149657,0.03885500,0.96733289
