energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.36968484,2.81386718,0.90737022,0.00000000,0.89503031,1.94986281,0.10473075,0.27002425
-5.36368184,2.87611149,0.93414402,0.00000000,0.90877212,1.99789079,0.10749766,0.27230142
-5.35767884,2.92837972,0.95781999,0.00000000,0.91928392,2.03944340,0.10984200,0.27352953
-5.35167584,2.96984237,0.97801322,0.00000000,0.92640115,2.07388355,0.11172292,0.27369254
-5.34567284,2.99972824,0.99435549,0.00000000,0.92997706,2.10059903,0.11310384,0.27278229
-5.33966983,3.01734753,1.00650615,0.00000000,0.92988759,2.11902007,0.11395355,0.27079877
-5.33366683,3.02211676,1.01416369,0.00000000,0.92603705,2.12863892,0.11424745,0.26775057
-5.32766383,3.01358461,1.01707729,0.00000000,0.91836409,2.12903057,0.11396854,0.26365544
-5.32166083,2.99145692,1.01505801,0.00000000,0.90684778,2.11987348,0.11310832,0.25854092
-5.31565783,2.95561954,1.00798871,0.00000000,0.89151328,2.10096899,0.11166751,0.25244490
-5.30965483,2.90615719,0.99583235,0.00000000,0.87243658,2.07225845,0.10965649,0.24541613
-5.30365183,2.84336724,0.97863786,0.00000000,0.84974810,2.03383648,0.10709542,0.23751447
-5.29764882,2.76776686,0.95654344,0.00000000,0.82363458,1.98595979,0.10401410,0.22881095
-5.29164582,2.68009296,0.92977674,0.00000000,0.79433910,1.92905039,0.10045149,0.21938738
-5.28564282,2.58129430,0.89865191,0.00000000,0.76215915,1.86369296,0.09645490,0.20933571
-5.27963982,2.47251579,0.86356349,0.00000000,0.72744248,1.79062614,0.09207892,0.19875693
-5.27363682,2.35507550,0.82497739,0.00000000,0.69058119,1.71072787,0.08738412,0.18775965
-5.26763382,2.23043515,0.78341933,0.00000000,0.65200390,1.62499549,0.08243554,0.17645831
-5.26163082,2.10016545,0.73946120,0.00000000,0.61216664,1.53452126,0.07730106,0.16497119
-5.25562781,1.96590772,0.69370603,0.00000000,0.57154276,1.44046457,0.07204975,0.15341825
-5.24962481,1.82933363,0.64677216,0.00000000,0.53061229,1.34402200,0.06675018,0.14191882
-5.24362181,1.69210491,0.59927739,0.00000000,0.48985140,1.24639666,0.06146891,0.13058950
-5.23761881,1.55583463,0.55182381,0.00000000,0.44972222,1.14876815,0.05626901,0.11954203
-5.23161581,1.42205193,0.50498383,0.00000000,0.41066375,1.05226448,0.05120893,0.10888156
-5.22561281,1.29217143,0.45928808,0.00000000,0.37308395,0.95793705,0.04634145,0.09870516
-5.21960980,1.16746843,0.41521545,0.00000000,0.33735356,0.86673961,0.04171301,0.08910077
-5.21360680,1.04906074,0.37318571,0.00000000,0.30380155,0.77951193,0.03736328,0.08014654
-5.20760380,0.93789728,0.33355467,0.00000000,0.27271250,0.69696848,0.03332498,0.07191067
-5.20160080,0.83475365,0.29661194,0.00000000,0.24432573,0.61969227,0.02962396,0.06445165
-5.19559780,0.74023404,0.26258124,0.00000000,0.21883610,0.54813372,0.02627950,0.05781890
-5.18959480,0.65477899,0.23162277,0.00000000,0.19639613,0.48261404,0.02330479,0.05205376
-5.18359180,0.57867801,0.20383761,0.00000000,0.17711938,0.42333268,0.02070756,0.04719074
-5.17758879,0.51208588,0.17927345,0.00000000,0.16108446,0.37037790,0.01849077,0.04325894
-5.17158579,0.45504165,0.15793137,0.00000000,0.14833957,0.32373992,0.01665336,0.04028359
-5.16558279,0.40748889,0.13977333,0.00000000,0.13890707,0.28332546,0.01519102,0.03828755
-5.15957979,0.36929633,0.12472964,0.00000000,0.13278787,0.24897317,0.01409686,0.03729275
-5.15357679,0.34027758,0.11270646,0.00000000,0.12996529,0.22046890,0.01336210,0.03732142
-5.14757379,0.32020925,0.10359255,0.00000000,0.13040825,0.19756031,0.01297658,0.03839708
-5.14157079,0.30884661,0.09726548,0.00000000,0.13407361,0.17997016,0.01292917,0.04054519
-5.13556778,0.30593637,0.09359672,0.00000000,0.14090762,0.16740793,0.01320814,0.04379351
-5.12956478,0.31122620,0.09245577,0.00000000,0.15084648,0.15957950,0.01380132,0.04817197
-5.12356178,0.32447086,0.09371320,0.00000000,0.16381609,0.15619461,0.01469620,0.05371217
-5.11755878,0.34543497,0.09724255,0.00000000,0.17973109,0.15697227,0.01587991,0.06044648
-5.11155578,0.37389262,0.10292127,0.00000000,0.19849336,0.16164402,0.01733918,0.06840671
-5.10555278,0.40962409,0.11063081,0.00000000,0.21999026,0.16995533,0.01906013,0.07762242
-5.09954977,0.45241012,0.12025589,0.00000000,0.24409269,0.18166531,0.02102819,0.08811883
-5.09354677,0.50202416,0.13168318,0.00000000,0.27065324,0.19654498,0.02322785,0.09991455
-5.08754377,0.55822304,0.14479961,0.00000000,0.29950464,0.21437455,0.02564250,0.11301901
-5.08154077,0.62073685,0.15949034,0.00000000,0.33045865,0.23493972,0.02825433,0.12742974
-5.07553777,0.68925818,0.17563665,0.00000000,0.36330555,0.25802769,0.03104418,0.14312966
-5.06953477,0.76343164,0.19311386,0.00000000,0.39781422,0.28342282,0.03399152,0.16008435
-5.06353177,0.84284396,0.21178941,0.00000000,0.43373297,0.31090245,0.03707446,0.17823951
-5.05752876,0.92701521,0.23152116,0.00000000,0.47079110,0.34023296,0.04026980,0.19751866
-5.05152576,1.01539167,0.25215611,0.00000000,0.50870104,0.37116642,0.04355317,0.21782130
-5.04552276,1.10734070,0.27352954,0.00000000,0.54716114,0.40343792,0.04689922,0.23902146
-5.03951976,1.20214805,0.29546457,0.00000000,0.58585890,0.43676370,0.05028182,0.26096701
-5.03351676,1.29901788,0.31777233,0.00000000,0.62447460,0.47084033,0.05367433,0.28347964
-5.02751376,1.39707581,0.34025264,0.00000000,0.66268511,0.50534487,0.05704986,0.30635564
-5.02151076,1.49537502,0.36269523,0.00000000,0.70016782,0.53993618,0.06038157,0.32936767
-5.01550775,1.59290568,0.38488150,0.00000000,0.73660455,0.57425728,0.06364295,0.35226735
-5.00950475,1.68860738,0.40658685,0.00000000,0.77168536,0.60793880,0.06680811,0.37478883
-5.00350175,1.78138468,0.42758341,0.00000000,0.80511204,0.64060347,0.06985200,0.39665334
-4.99749875,1.87012521,0.44764321,0.00000000,0.83660137,0.67187143,0.07275067,0.41757437
-4.99149575,1.95372002,0.46654168,0.00000000,0.86588807,0.70136638,0.07548146,0.43726373
-4.98549275,2.03108559,0.48406138,0.00000000,0.89272721,0.72872218,0.07802316,0.45543798
-4.97948974,2.10118682,0.49999587,0.00000000,0.91689645,0.75358990,0.08035617,0.47182529
-4.97348674,2.16306020,0.51415352,0.00000000,0.93819764,0.77564488,0.08246255,0.48617230
-4.96748374,2.21583634,0.52636131,0.00000000,0.95645827,0.79459370,0.08432616,0.49825086
-4.96148074,2.25876106,0.53646824,0.00000000,0.97153242,0.81018065,0.08593268,0.50786427
-4.95547774,2.29121421,0.54434850,0.00000000,0.98330144,0.82219362,0.08726965,0.51485291
-4.94947474,2.31272538,0.54990404,0.00000000,0.99167442,0.83046897,0.08832648,0.51909887
-4.94347174,2.32298592,0.55306664,0.00000000,0.99658830,0.83489536,0.08909451,0.52052947
-4.93746873,2.32185681,0.55379922,0.00000000,0.99800792,0.83541628,0.08956698,0.51911948
-4.93146573,2.30937191,0.55209655,0.00000000,0.99592583,0.83203122,0.08973908,0.51489198
-4.92546273,2.28573653,0.54798511,0.00000000,0.99036201,0.82479535,0.08960801,0.50791769
-4.91945973,2.25132144,0.54152236,0.00000000,0.98136351,0.81381790,0.08917296,0.49831298
-4.91345673,2.20665248,0.53279517,0.00000000,0.96900403,0.79925910,0.08843524,0.48623650
-4.90745373,2.15239620,0.52191777,0.00000000,0.95338335,0.78132600,0.08739831,0.47188459
