energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.45372686,9.72457280,2.65912312,6.62945231,0.23346941,0.01374607,0.30290317,0.08911413,1.75841226
-5.44772386,10.16367583,2.73899770,6.95688187,0.24473339,0.01481266,0.30996428,0.09249198,1.83102968
-5.44172086,10.59434489,2.81266394,7.28164454,0.25563436,0.01594270,0.31638968,0.09566982,1.90119698
-5.43571786,11.01514041,2.87958217,7.60290944,0.26610957,0.01713073,0.32210830,0.09864442,1.96863183
-5.42971486,11.42528210,2.93940894,7.92027348,0.27610465,0.01837047,0.32707880,0.10142273,2.03317950
-5.42371186,11.82464991,2.99200370,8.23375683,0.28557272,0.01965472,0.33128898,0.10402202,2.09481635
-5.41770885,12.21375885,3.03742846,8.54378039,0.29447334,0.02097549,0.33475446,0.10646976,2.15364850
-5.41170585,12.59370724,3.07594023,8.85112538,0.30277129,0.02232401,0.33751649,0.10880299,2.20990535
-5.40570285,12.96609947,3.10797659,9.15687550,0.31043530,0.02369080,0.33963904,0.11106741,2.26392811
-5.39969985,13.33294502,3.13413484,9.46234324,0.31743681,0.02506579,0.34120531,0.11331597,2.31615357
-5.39369685,13.69653707,3.15514558,9.76898241,0.32374900,0.02643842,0.34231363,0.11560716,2.36709342
-5.38769385,14.05931451,3.17184166,10.07828992,0.32934600,0.02779777,0.34307301,0.11800293,2.41730982
-5.38169085,14.42371231,3.18512370,10.39170014,0.33420240,0.02913267,0.34359844,0.12056633,2.46738806
-5.37568784,14.79200570,3.19592355,10.71047580,0.33829319,0.03043194,0.34400615,0.12335896,2.51790698
-5.36968484,15.16615398,3.20516683,11.03559970,0.34159402,0.03168445,0.34440884,0.12643822,2.56940845
-5.36368184,15.54765034,3.21373623,11.36767162,0.34408178,0.03287936,0.34491136,0.12985459,2.62236683
-5.35767884,15.93738379,3.22243670,11.70681495,0.34573557,0.03400622,0.34560655,0.13364887,2.67715965
-5.35167584,16.33551927,3.23196394,12.05259738,0.34653780,0.03505517,0.34657187,0.13784965,2.73404068
-5.34567284,16.74140178,3.24287741,12.40396974,0.34647552,0.03601704,0.34786646,0.14247100,2.79311659
-5.33966983,17.15348950,3.25557880,12.75922647,0.34554171,0.03688347,0.34952916,0.14751056,2.85432827
-5.33366683,17.56932010,3.27029692,13.11599086,0.34373665,0.03764705,0.35157716,0.15294807,2.91743782
-5.32766383,17.98551356,3.28707964,13.47122704,0.34106906,0.03830134,0.35400568,0.15874454,2.98202202
-5.32166083,18.39781307,3.30579316,13.82127986,0.33755702,0.03884102,0.35678845,0.16484197,3.04747304
-5.31565783,18.80116466,3.32612883,14.16194287,0.33322872,0.03926184,0.35987901,0.17116385,3.11300657
-5.30965483,19.18983396,3.34761720,14.48855296,0.32812275,0.03956072,0.36321285,0.17761639,3.17767758
-5.30365183,19.55755729,3.36964880,14.79610937,0.32228809,0.03973578,0.36671028,0.18409040,3.24040341
-5.29764882,19.89772212,3.39150069,15.07941329,0.31578376,0.03978629,0.37027973,0.19046398,3.29999353
-5.29164582,20.20357060,3.41236777,15.33322304,0.30867803,0.03971272,0.37382167,0.19660575,3.35518513
-5.28564282,20.46841832,3.43139719,15.55241903,0.30104739,0.03951674,0.37723262,0.20237866,3.40468311
-5.27963982,20.68587920,3.44772449,15.73217163,0.29297514,0.03920119,0.38040926,0.20764419,3.44720299
-5.27363682,20.85008693,3.46050950,15.86810476,0.28454976,0.03877008,0.38325242,0.21226675,3.48151494
-5.26763382,20.95590295,3.46897033,15.95644789,0.27586307,0.03822854,0.38567073,0.21611820,3.50648708
-5.26163082,20.99910138,3.47241386,15.99416937,0.26700824,0.03758282,0.38758368,0.21908220,3.52112597
-5.25562781,20.97652209,3.47026099,15.97908479,0.25807769,0.03684016,0.38892417,0.22105822,3.52461260
-5.24962481,20.88618464,3.46206580,15.90993502,0.24916108,0.03600878,0.38964010,0.22196515,3.51633214
-5.24362181,20.72735770,3.44752744,15.78643027,0.24034318,0.03509770,0.38969527,0.22174412,3.49589615
-5.23761881,20.50058073,3.42649468,15.60925803,0.23170199,0.03411664,0.38906937,0.22036064,3.46315616
-5.23161581,20.20763735,3.39896303,15.38005466,0.22330698,0.03307585,0.38775712,0.21780581,3.41820827
-5.22561281,19.85148243,3.36506513,15.10134240,0.21521760,0.03198590,0.38576679,0.21409659,3.36138860
-5.21960980,19.43612735,3.32505532,14.77643542,0.20748212,0.03085748,0.38311805,0.20927513,3.29325996
-5.21360680,18.96649008,3.27928988,14.40932000,0.20013678,0.02970115,0.37983951,0.20340725,3.21459094
-5.20760380,18.44821879,3.22820440,14.00451543,0.19320543,0.02852713,0.37596602,0.19658000,3.12632828
-5.20160080,17.88749848,3.17229035,13.56692304,0.18669956,0.02734507,0.37153597,0.18889865,3.02956451
-5.19559780,17.29085121,3.11207225,13.10167113,0.18061888,0.02616385,0.36658895,0.18048305,2.92550230
-5.18959480,16.66494004,3.04808732,12.61396351,0.17495227,0.02499136,0.36116363,0.17146366,2.81541771
-5.18359180,16.01638617,2.98086891,12.10893898,0.16967923,0.02383443,0.35529637,0.16197740,2.70062378
-5.17758879,15.35160771,2.91093457,11.59154760,0.16477173,0.02269867,0.34902038,0.15216348,2.58243646
-5.17158579,14.67668600,2.83877937,11.06644895,0.16019634,0.02158845,0.34236557,0.14215942,2.46214403
-5.16558279,13.99726412,2.76487453,10.53793516,0.15591658,0.02050692,0.33535910,0.13209745,2.34098103
-5.15957979,13.31847915,2.68967071,10.00988052,0.15189543,0.01945608,0.32802644,0.12210127,2.22010764
-5.15357679,12.64492786,2.61360531,9.48571722,0.14809770,0.01843684,0.32039292,0.11228347,2.10059438
-5.14757379,11.98066334,2.53711233,8.96843544,0.14449238,0.01744926,0.31248554,0.10274352,1.98341232
-5.14157079,11.32921804,2.46063330,8.46060463,0.14105460,0.01649262,0.30433477,0.09356639,1.86942821
-5.13556778,10.69364770,2.38462783,7.96441171,0.13776718,0.01556573,0.29597628,0.08482181,1.75940370
-5.12956478,10.07658954,2.30958202,7.48171130,0.13462171,0.01466706,0.28745229,0.07656417,1.65399800
-5.12356178,9.48032790,2.23601340,7.01408287,0.13161903,0.01379497,0.27881240,0.06883288,1.55377258
-5.11755878,8.90686076,2.16447133,6.56288976,0.12876902,0.01294791,0.27011380,0.06165324,1.45919723
-5.11155578,8.35796131,2.09553208,6.12933542,0.12608979,0.01212453,0.26142076,0.05503762,1.37065629
-5.10555278,7.83522985,2.02978837,5.71451324,0.12360629,0.01132385,0.25280332,0.04898692,1.28845436
-5.09954977,7.34013251,1.96783357,5.31944681,0.12134832,0.01054534,0.24433537,0.04349221,1.21282086
-5.09354677,6.87402506,1.91024135,4.94511897,0.11934813,0.00978892,0.23609212,0.03853638,1.14391308
-5.08754377,6.43816125,1.85754175,4.59248885,0.11763774,0.00905502,0.22814709,0.03409583,1.08181771
-5.08154077,6.03368690,1.81019535,4.26249696,0.11624608,0.00834451,0.22056891,0.03014209,1.02655084
